,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
341,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
342,0,0,6.0,9.0,7.0,8.0,8.0,,,,,
347,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
348,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
349,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
350,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
351,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
352,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
355,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
356,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
357,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
358,0,0,7.0,8.0,8.0,9.0,8.0,,,,,
363,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
364,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
365,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
366,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
367,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
368,0,1,8.0,8.0,8.0,9.0,9.0,,,,,
371,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
372,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
373,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
374,0,0,8.0,8.0,8.0,9.0,9.0,,,,,
376,0,0,7.0,5.0,9.0,9.0,7.0,,,,,
377,0,0,7.0,5.0,9.0,9.0,7.0,,,,,
378,0,0,7.0,5.0,9.0,9.0,7.0,,,,,
385,0,0,7.0,5.0,9.0,9.0,7.0,,,,,
395,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
396,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
397,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
398,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
399,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
400,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
403,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
404,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
405,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
406,0,0,6.0,8.0,8.0,6.0,8.0,,,,,
408,0,0,7.0,7.0,7.0,7.0,8.0,,,,,
409,0,0,7.0,7.0,7.0,7.0,8.0,,,,,
410,0,0,7.0,7.0,7.0,7.0,8.0,,,,,
417,0,1,7.0,7.0,7.0,7.0,8.0,,,,,
427,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
428,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
429,0,1,8.0,9.0,9.0,9.0,7.0,,,,,
430,0,1,8.0,9.0,9.0,9.0,7.0,,,,,
431,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
432,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
435,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
436,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
437,0,1,8.0,9.0,9.0,9.0,7.0,,,,,
438,0,0,8.0,9.0,9.0,9.0,7.0,,,,,
443,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
444,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
445,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
446,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
447,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
448,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
451,0,1,8.0,7.0,8.0,8.0,6.0,,,,,
452,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
453,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
454,0,0,8.0,7.0,8.0,8.0,6.0,,,,,
459,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
460,0,1,7.0,8.0,9.0,7.0,5.0,,,,,
461,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
462,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
463,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
464,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
467,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
468,0,1,7.0,8.0,9.0,7.0,5.0,,,,,
469,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
470,0,0,7.0,8.0,9.0,7.0,5.0,,,,,
482,0,1,8.0,2.0,8.0,7.0,8.0,,,,,
487,0,1,8.0,2.0,8.0,7.0,8.0,,,,,
504,1,0,3.0,10.0,9.0,8.0,5.0,,,,,
506,1,0,3.0,10.0,9.0,8.0,5.0,,,,,
515,1,0,3.0,10.0,9.0,8.0,5.0,,,,,
517,1,0,3.0,10.0,9.0,8.0,5.0,,,,,
523,1,0,5.0,7.0,8.0,5.0,5.0,,,,,
525,1,0,5.0,7.0,8.0,5.0,5.0,,,,,
534,1,0,5.0,7.0,8.0,5.0,5.0,,,,,
536,1,0,5.0,7.0,8.0,5.0,5.0,,,,,
542,1,0,6.0,9.0,8.0,6.0,4.0,,,,,
544,1,0,6.0,9.0,8.0,6.0,4.0,,,,,
553,1,0,6.0,9.0,8.0,6.0,4.0,,,,,
555,1,0,6.0,9.0,8.0,6.0,4.0,,,,,
564,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
565,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
566,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
568,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
569,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
570,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
571,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
573,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
575,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
576,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
577,1,0,3.0,8.0,7.0,3.0,2.0,,,,,
583,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
584,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
585,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
587,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
588,1,1,7.0,9.0,9.0,8.0,9.0,,,,,
589,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
590,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
592,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
594,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
595,1,0,7.0,9.0,9.0,8.0,9.0,,,,,
596,1,1,7.0,9.0,9.0,8.0,9.0,,,,,
602,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
603,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
604,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
606,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
607,1,1,7.0,8.0,8.0,6.0,7.0,,,,,
608,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
609,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
611,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
613,1,1,7.0,8.0,8.0,6.0,7.0,,,,,
614,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
615,1,0,7.0,8.0,8.0,6.0,7.0,,,,,
621,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
622,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
623,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
625,1,1,7.0,8.0,7.0,5.0,7.0,,,,,
626,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
627,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
628,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
630,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
632,1,1,7.0,8.0,7.0,5.0,7.0,,,,,
633,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
634,1,0,7.0,8.0,7.0,5.0,7.0,,,,,
640,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
641,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
642,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
644,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
645,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
646,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
647,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
649,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
651,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
652,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
653,1,0,8.0,7.0,9.0,9.0,3.0,,,,,
659,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
660,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
661,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
663,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
664,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
665,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
666,1,1,7.0,9.0,7.0,6.0,6.0,,,,,
668,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
670,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
671,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
672,1,0,7.0,9.0,7.0,6.0,6.0,,,,,
675,1,0,7.0,10.0,10.0,10.0,8.0,,,,,
677,1,0,7.0,10.0,10.0,10.0,8.0,,,,,
686,1,0,7.0,10.0,10.0,10.0,8.0,,,,,
688,1,1,7.0,10.0,10.0,10.0,8.0,,,,,
695,1,0,8.0,9.0,10.0,9.0,8.0,,,,,
711,1,1,8.0,9.0,10.0,9.0,8.0,,,,,
716,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
717,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
718,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
720,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
721,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
722,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
723,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
725,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
727,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
728,1,1,6.0,8.0,10.0,2.0,2.0,,,,,
729,1,0,6.0,8.0,10.0,2.0,2.0,,,,,
735,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
736,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
737,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
739,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
740,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
741,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
742,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
744,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
746,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
747,1,0,5.0,8.0,8.0,6.0,7.0,,,,,
748,1,1,5.0,8.0,8.0,6.0,7.0,,,,,
754,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
755,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
756,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
758,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
759,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
760,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
761,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
763,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
765,1,1,8.0,9.0,8.0,8.0,8.0,,,,,
766,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
767,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
773,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
774,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
775,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
777,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
778,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
779,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
780,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
782,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
784,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
785,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
786,1,0,8.0,9.0,8.0,8.0,8.0,,,,,
790,1,0,6.0,10.0,9.0,10.0,10.0,,,,,
806,1,1,6.0,10.0,9.0,10.0,10.0,,,,,
811,0,1,10.0,10.0,8.0,9.0,5.0,,,,,
812,0,1,10.0,10.0,8.0,9.0,5.0,,,,,
813,0,0,10.0,10.0,8.0,9.0,5.0,,,,,
814,0,0,10.0,10.0,8.0,9.0,5.0,,,,,
815,0,0,10.0,10.0,8.0,9.0,5.0,,,,,
816,0,0,10.0,10.0,8.0,9.0,5.0,,,,,
821,0,0,6.0,10.0,9.0,10.0,10.0,,,,,
822,0,0,6.0,10.0,9.0,10.0,10.0,,,,,
823,0,1,6.0,10.0,9.0,10.0,10.0,,,,,
824,0,0,6.0,10.0,9.0,10.0,10.0,,,,,
825,0,0,6.0,10.0,9.0,10.0,10.0,,,,,
826,0,0,6.0,10.0,9.0,10.0,10.0,,,,,
849,0,0,7.0,9.0,9.0,9.0,9.0,,,,,
857,0,0,7.0,9.0,9.0,9.0,9.0,,,,,
861,0,0,7.0,10.0,10.0,7.0,7.0,,,,,
862,0,0,7.0,10.0,10.0,7.0,7.0,,,,,
863,0,1,7.0,10.0,10.0,7.0,7.0,,,,,
864,0,0,7.0,10.0,10.0,7.0,7.0,,,,,
865,0,0,7.0,10.0,10.0,7.0,7.0,,,,,
866,0,0,7.0,10.0,10.0,7.0,7.0,,,,,
868,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
899,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
907,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
914,1,0,6.0,7.0,8.0,7.0,8.0,,,,,
922,1,0,5.0,7.0,7.0,6.0,7.0,,,,,
927,1,0,5.0,7.0,7.0,6.0,7.0,,,,,
938,1,1,5.0,9.0,8.0,5.0,8.0,,,,,
939,1,0,5.0,9.0,8.0,5.0,8.0,,,,,
943,1,0,5.0,9.0,8.0,5.0,8.0,,,,,
948,1,1,8.0,6.0,9.0,8.0,6.0,,,,,
949,1,0,8.0,6.0,9.0,8.0,6.0,,,,,
953,1,0,8.0,6.0,9.0,8.0,6.0,,,,,
958,1,0,6.0,8.0,10.0,8.0,10.0,,,,,
959,1,1,6.0,8.0,10.0,8.0,10.0,,,,,
963,1,1,6.0,8.0,10.0,8.0,10.0,,,,,
968,1,0,7.0,9.0,8.0,8.0,8.0,,,,,
969,1,0,7.0,9.0,8.0,8.0,8.0,,,,,
973,1,0,7.0,9.0,8.0,8.0,8.0,,,,,
978,1,0,7.0,7.0,7.0,8.0,8.0,,,,,
979,1,0,7.0,7.0,7.0,8.0,8.0,,,,,
983,1,0,7.0,7.0,7.0,8.0,8.0,,,,,
988,1,0,7.0,9.0,8.0,9.0,7.0,,,,,
989,1,0,7.0,9.0,8.0,9.0,7.0,,,,,
993,1,0,7.0,9.0,8.0,9.0,7.0,,,,,
1002,1,0,7.0,7.0,8.0,8.0,8.0,,,,,
1007,1,0,7.0,7.0,8.0,8.0,8.0,,,,,
1009,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1011,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1012,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1013,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1016,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1017,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1018,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1021,0,1,6.0,6.0,8.0,6.0,4.0,,,,,
1022,0,0,6.0,6.0,8.0,6.0,4.0,,,,,
1024,0,1,6.0,6.0,8.0,6.0,4.0,,,,,
1027,0,0,6.0,8.0,8.0,8.0,8.0,,,,,
1029,0,1,6.0,8.0,8.0,8.0,8.0,,,,,
1030,0,1,6.0,8.0,8.0,8.0,8.0,,,,,
1031,0,1,6.0,8.0,8.0,8.0,8.0,,,,,
1034,0,0,6.0,8.0,8.0,8.0,8.0,,,,,
1035,0,0,6.0,8.0,8.0,8.0,8.0,,,,,
1036,0,0,6.0,8.0,8.0,8.0,8.0,,,,,
1039,0,1,6.0,8.0,8.0,8.0,8.0,,,,,
1040,0,0,6.0,8.0,8.0,8.0,8.0,,,,,
1042,0,0,6.0,8.0,8.0,8.0,8.0,,,,,
1046,0,0,3.0,10.0,8.0,3.0,8.0,,,,,
1056,0,1,3.0,10.0,8.0,3.0,8.0,,,,,
1062,0,0,7.0,9.0,7.0,8.0,7.0,,,,,
1069,0,0,7.0,9.0,7.0,8.0,7.0,,,,,
1077,0,0,7.0,9.0,7.0,8.0,7.0,,,,,
1079,0,0,7.0,9.0,7.0,8.0,7.0,,,,,
1080,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1087,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1095,0,1,8.0,8.0,8.0,8.0,8.0,,,,,
1097,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1099,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1101,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1102,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1103,0,1,8.0,7.0,7.0,8.0,7.0,,,,,
1106,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1107,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1108,0,1,8.0,7.0,7.0,8.0,7.0,,,,,
1111,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1112,0,1,8.0,7.0,7.0,8.0,7.0,,,,,
1114,0,0,8.0,7.0,7.0,8.0,7.0,,,,,
1122,0,0,8.0,9.0,8.0,8.0,7.0,,,,,
1136,0,0,5.0,9.0,5.0,9.0,5.0,,,,,
1146,0,0,5.0,9.0,5.0,9.0,5.0,,,,,
1154,0,0,7.0,9.0,8.0,7.0,5.0,,,,,
1164,0,0,7.0,9.0,8.0,7.0,5.0,,,,,
1171,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1173,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
