,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,group
2624,194,230.0,9,0,0,9.0,10.0,10.0,8.0,10.0,23.81,23.81,23.81,23.81,2.38,2
2626,194,232.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.78,17.78,17.78,17.78,13.33,2
2628,195,214.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.02,21.28,17.02,21.28,14.89,2
2630,195,216.0,9,0,0,9.0,8.0,10.0,10.0,8.0,7.5,17.5,20.0,22.5,12.5,2
2631,195,217.0,9,0,1,9.0,8.0,10.0,10.0,8.0,21.28,17.02,21.28,12.77,6.38,2
2632,195,218.0,9,0,0,9.0,8.0,10.0,10.0,8.0,20.51,5.13,23.08,12.82,17.95,2
2633,195,219.0,9,0,0,9.0,8.0,10.0,10.0,8.0,16.28,16.28,18.6,16.28,16.28,2
2636,195,222.0,9,0,0,9.0,8.0,10.0,10.0,8.0,9.52,19.05,23.81,19.05,4.76,2
2637,195,223.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.39,17.39,19.57,19.57,10.87,2
2638,195,224.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.24,17.24,17.24,17.24,13.79,2
2640,195,226.0,9,0,0,9.0,8.0,10.0,10.0,8.0,25.64,17.95,15.38,20.51,10.26,2
2641,195,227.0,9,0,0,9.0,8.0,10.0,10.0,8.0,20.0,16.0,18.0,16.0,16.0,2
2643,195,229.0,9,0,1,9.0,8.0,10.0,10.0,8.0,21.43,16.67,21.43,16.67,11.9,2
2644,195,230.0,9,0,0,9.0,8.0,10.0,10.0,8.0,23.81,23.81,23.81,23.81,2.38,2
2646,195,232.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.78,17.78,17.78,17.78,13.33,2
2649,196,215.0,9,0,0,9.0,9.0,9.0,9.0,9.0,14.89,19.15,21.28,19.15,14.89,2
2655,196,221.0,9,0,0,9.0,9.0,9.0,9.0,9.0,15.56,17.78,17.78,17.78,17.78,2
2662,196,228.0,9,0,0,9.0,9.0,9.0,9.0,9.0,13.51,18.92,21.62,13.51,13.51,2
2667,196,233.0,9,0,0,9.0,9.0,9.0,9.0,9.0,14.0,20.0,18.0,16.0,14.0,2
2674,197,220.0,9,0,0,7.0,8.0,9.0,9.0,7.0,16.67,16.67,16.67,16.67,14.81,2
2689,198,215.0,9,0,0,7.0,9.0,9.0,7.0,7.0,14.89,19.15,21.28,19.15,14.89,2
2695,198,221.0,9,0,0,7.0,9.0,9.0,7.0,7.0,15.56,17.78,17.78,17.78,17.78,2
2702,198,228.0,9,0,0,7.0,9.0,9.0,7.0,7.0,13.51,18.92,21.62,13.51,13.51,2
2707,198,233.0,9,0,0,7.0,9.0,9.0,7.0,7.0,14.0,20.0,18.0,16.0,14.0,2
2708,199,214.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.02,21.28,17.02,21.28,14.89,2
2710,199,216.0,9,0,0,9.0,7.0,9.0,7.0,9.0,7.5,17.5,20.0,22.5,12.5,2
2711,199,217.0,9,0,1,9.0,7.0,9.0,7.0,9.0,21.28,17.02,21.28,12.77,6.38,2
2712,199,218.0,9,0,0,9.0,7.0,9.0,7.0,9.0,20.51,5.13,23.08,12.82,17.95,2
2713,199,219.0,9,0,1,9.0,7.0,9.0,7.0,9.0,16.28,16.28,18.6,16.28,16.28,2
2716,199,222.0,9,0,0,9.0,7.0,9.0,7.0,9.0,9.52,19.05,23.81,19.05,4.76,2
2717,199,223.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.39,17.39,19.57,19.57,10.87,2
2718,199,224.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.24,17.24,17.24,17.24,13.79,2
2720,199,226.0,9,0,1,9.0,7.0,9.0,7.0,9.0,25.64,17.95,15.38,20.51,10.26,2
2721,199,227.0,9,0,0,9.0,7.0,9.0,7.0,9.0,20.0,16.0,18.0,16.0,16.0,2
2723,199,229.0,9,0,0,9.0,7.0,9.0,7.0,9.0,21.43,16.67,21.43,16.67,11.9,2
2724,199,230.0,9,0,0,9.0,7.0,9.0,7.0,9.0,23.81,23.81,23.81,23.81,2.38,2
2726,199,232.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.78,17.78,17.78,17.78,13.33,2
2728,200,214.0,9,0,0,8.0,10.0,8.0,8.0,8.0,17.02,21.28,17.02,21.28,14.89,2
2730,200,216.0,9,0,0,8.0,10.0,8.0,8.0,8.0,7.5,17.5,20.0,22.5,12.5,2
2731,200,217.0,9,0,1,8.0,10.0,8.0,8.0,8.0,21.28,17.02,21.28,12.77,6.38,2
2732,200,218.0,9,0,0,8.0,10.0,8.0,8.0,8.0,20.51,5.13,23.08,12.82,17.95,2
2733,200,219.0,9,0,0,8.0,10.0,8.0,8.0,8.0,16.28,16.28,18.6,16.28,16.28,2
2736,200,222.0,9,0,0,8.0,10.0,8.0,8.0,8.0,9.52,19.05,23.81,19.05,4.76,2
2737,200,223.0,9,0,0,8.0,10.0,8.0,8.0,8.0,17.39,17.39,19.57,19.57,10.87,2
2738,200,224.0,9,0,1,8.0,10.0,8.0,8.0,8.0,17.24,17.24,17.24,17.24,13.79,2
2740,200,226.0,9,0,0,8.0,10.0,8.0,8.0,8.0,25.64,17.95,15.38,20.51,10.26,2
2741,200,227.0,9,0,0,8.0,10.0,8.0,8.0,8.0,20.0,16.0,18.0,16.0,16.0,2
2743,200,229.0,9,0,1,8.0,10.0,8.0,8.0,8.0,21.43,16.67,21.43,16.67,11.9,2
2744,200,230.0,9,0,0,8.0,10.0,8.0,8.0,8.0,23.81,23.81,23.81,23.81,2.38,2
2746,200,232.0,9,0,0,8.0,10.0,8.0,8.0,8.0,17.78,17.78,17.78,17.78,13.33,2
2748,201,214.0,9,0,0,7.0,8.0,9.0,9.0,8.0,17.02,21.28,17.02,21.28,14.89,2
2750,201,216.0,9,0,0,7.0,8.0,9.0,9.0,8.0,7.5,17.5,20.0,22.5,12.5,2
2751,201,217.0,9,0,0,7.0,8.0,9.0,9.0,8.0,21.28,17.02,21.28,12.77,6.38,2
2752,201,218.0,9,0,0,7.0,8.0,9.0,9.0,8.0,20.51,5.13,23.08,12.82,17.95,2
2753,201,219.0,9,0,0,7.0,8.0,9.0,9.0,8.0,16.28,16.28,18.6,16.28,16.28,2
2756,201,222.0,9,0,0,7.0,8.0,9.0,9.0,8.0,9.52,19.05,23.81,19.05,4.76,2
2757,201,223.0,9,0,0,7.0,8.0,9.0,9.0,8.0,17.39,17.39,19.57,19.57,10.87,2
2758,201,224.0,9,0,0,7.0,8.0,9.0,9.0,8.0,17.24,17.24,17.24,17.24,13.79,2
2760,201,226.0,9,0,0,7.0,8.0,9.0,9.0,8.0,25.64,17.95,15.38,20.51,10.26,2
2761,201,227.0,9,0,0,7.0,8.0,9.0,9.0,8.0,20.0,16.0,18.0,16.0,16.0,2
2763,201,229.0,9,0,0,7.0,8.0,9.0,9.0,8.0,21.43,16.67,21.43,16.67,11.9,2
2764,201,230.0,9,0,1,7.0,8.0,9.0,9.0,8.0,23.81,23.81,23.81,23.81,2.38,2
2766,201,232.0,9,0,0,7.0,8.0,9.0,9.0,8.0,17.78,17.78,17.78,17.78,13.33,2
2768,202,214.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.02,21.28,17.02,21.28,14.89,2
2770,202,216.0,9,0,0,7.0,10.0,10.0,9.0,8.0,7.5,17.5,20.0,22.5,12.5,2
2771,202,217.0,9,0,1,7.0,10.0,10.0,9.0,8.0,21.28,17.02,21.28,12.77,6.38,2
2772,202,218.0,9,0,0,7.0,10.0,10.0,9.0,8.0,20.51,5.13,23.08,12.82,17.95,2
2773,202,219.0,9,0,0,7.0,10.0,10.0,9.0,8.0,16.28,16.28,18.6,16.28,16.28,2
2776,202,222.0,9,0,0,7.0,10.0,10.0,9.0,8.0,9.52,19.05,23.81,19.05,4.76,2
2777,202,223.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.39,17.39,19.57,19.57,10.87,2
2778,202,224.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.24,17.24,17.24,17.24,13.79,2
2780,202,226.0,9,0,0,7.0,10.0,10.0,9.0,8.0,25.64,17.95,15.38,20.51,10.26,2
2781,202,227.0,9,0,0,7.0,10.0,10.0,9.0,8.0,20.0,16.0,18.0,16.0,16.0,2
2783,202,229.0,9,0,0,7.0,10.0,10.0,9.0,8.0,21.43,16.67,21.43,16.67,11.9,2
2784,202,230.0,9,0,0,7.0,10.0,10.0,9.0,8.0,23.81,23.81,23.81,23.81,2.38,2
2786,202,232.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.78,17.78,17.78,17.78,13.33,2
2788,203,214.0,9,0,0,9.0,8.0,10.0,9.0,7.0,17.02,21.28,17.02,21.28,14.89,2
2790,203,216.0,9,0,0,9.0,8.0,10.0,9.0,7.0,7.5,17.5,20.0,22.5,12.5,2
2791,203,217.0,9,0,0,9.0,8.0,10.0,9.0,7.0,21.28,17.02,21.28,12.77,6.38,2
2792,203,218.0,9,0,0,9.0,8.0,10.0,9.0,7.0,20.51,5.13,23.08,12.82,17.95,2
2793,203,219.0,9,0,0,9.0,8.0,10.0,9.0,7.0,16.28,16.28,18.6,16.28,16.28,2
2796,203,222.0,9,0,0,9.0,8.0,10.0,9.0,7.0,9.52,19.05,23.81,19.05,4.76,2
2797,203,223.0,9,0,0,9.0,8.0,10.0,9.0,7.0,17.39,17.39,19.57,19.57,10.87,2
2798,203,224.0,9,0,0,9.0,8.0,10.0,9.0,7.0,17.24,17.24,17.24,17.24,13.79,2
2800,203,226.0,9,0,0,9.0,8.0,10.0,9.0,7.0,25.64,17.95,15.38,20.51,10.26,2
2801,203,227.0,9,0,0,9.0,8.0,10.0,9.0,7.0,20.0,16.0,18.0,16.0,16.0,2
2803,203,229.0,9,0,0,9.0,8.0,10.0,9.0,7.0,21.43,16.67,21.43,16.67,11.9,2
2804,203,230.0,9,0,0,9.0,8.0,10.0,9.0,7.0,23.81,23.81,23.81,23.81,2.38,2
2806,203,232.0,9,0,0,9.0,8.0,10.0,9.0,7.0,17.78,17.78,17.78,17.78,13.33,2
2808,204,214.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.02,21.28,17.02,21.28,14.89,2
2810,204,216.0,9,0,0,9.0,5.0,10.0,9.0,10.0,7.5,17.5,20.0,22.5,12.5,2
2811,204,217.0,9,0,0,9.0,5.0,10.0,9.0,10.0,21.28,17.02,21.28,12.77,6.38,2
2812,204,218.0,9,0,0,9.0,5.0,10.0,9.0,10.0,20.51,5.13,23.08,12.82,17.95,2
2813,204,219.0,9,0,0,9.0,5.0,10.0,9.0,10.0,16.28,16.28,18.6,16.28,16.28,2
2816,204,222.0,9,0,0,9.0,5.0,10.0,9.0,10.0,9.52,19.05,23.81,19.05,4.76,2
2817,204,223.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.39,17.39,19.57,19.57,10.87,2
2818,204,224.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.24,17.24,17.24,17.24,13.79,2
2820,204,226.0,9,0,0,9.0,5.0,10.0,9.0,10.0,25.64,17.95,15.38,20.51,10.26,2
2821,204,227.0,9,0,0,9.0,5.0,10.0,9.0,10.0,20.0,16.0,18.0,16.0,16.0,2
2823,204,229.0,9,0,0,9.0,5.0,10.0,9.0,10.0,21.43,16.67,21.43,16.67,11.9,2
2824,204,230.0,9,0,0,9.0,5.0,10.0,9.0,10.0,23.81,23.81,23.81,23.81,2.38,2
2826,204,232.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.78,17.78,17.78,17.78,13.33,2
2828,205,214.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.02,21.28,17.02,21.28,14.89,2
2830,205,216.0,9,0,0,7.0,8.0,10.0,9.0,5.0,7.5,17.5,20.0,22.5,12.5,2
2831,205,217.0,9,0,0,7.0,8.0,10.0,9.0,5.0,21.28,17.02,21.28,12.77,6.38,2
2832,205,218.0,9,0,0,7.0,8.0,10.0,9.0,5.0,20.51,5.13,23.08,12.82,17.95,2
2833,205,219.0,9,0,0,7.0,8.0,10.0,9.0,5.0,16.28,16.28,18.6,16.28,16.28,2
2836,205,222.0,9,0,0,7.0,8.0,10.0,9.0,5.0,9.52,19.05,23.81,19.05,4.76,2
2837,205,223.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.39,17.39,19.57,19.57,10.87,2
2838,205,224.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.24,17.24,17.24,17.24,13.79,2
2840,205,226.0,9,0,0,7.0,8.0,10.0,9.0,5.0,25.64,17.95,15.38,20.51,10.26,2
2841,205,227.0,9,0,0,7.0,8.0,10.0,9.0,5.0,20.0,16.0,18.0,16.0,16.0,2
2843,205,229.0,9,0,0,7.0,8.0,10.0,9.0,5.0,21.43,16.67,21.43,16.67,11.9,2
2844,205,230.0,9,0,0,7.0,8.0,10.0,9.0,5.0,23.81,23.81,23.81,23.81,2.38,2
2846,205,232.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.78,17.78,17.78,17.78,13.33,2
2868,207,214.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.02,21.28,17.02,21.28,14.89,2
2870,207,216.0,9,0,0,8.0,8.0,8.0,10.0,9.0,7.5,17.5,20.0,22.5,12.5,2
2871,207,217.0,9,0,0,8.0,8.0,8.0,10.0,9.0,21.28,17.02,21.28,12.77,6.38,2
2872,207,218.0,9,0,0,8.0,8.0,8.0,10.0,9.0,20.51,5.13,23.08,12.82,17.95,2
2873,207,219.0,9,0,1,8.0,8.0,8.0,10.0,9.0,16.28,16.28,18.6,16.28,16.28,2
2876,207,222.0,9,0,0,8.0,8.0,8.0,10.0,9.0,9.52,19.05,23.81,19.05,4.76,2
2877,207,223.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.39,17.39,19.57,19.57,10.87,2
2878,207,224.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.24,17.24,17.24,17.24,13.79,2
2880,207,226.0,9,0,1,8.0,8.0,8.0,10.0,9.0,25.64,17.95,15.38,20.51,10.26,2
2881,207,227.0,9,0,1,8.0,8.0,8.0,10.0,9.0,20.0,16.0,18.0,16.0,16.0,2
2883,207,229.0,9,0,0,8.0,8.0,8.0,10.0,9.0,21.43,16.67,21.43,16.67,11.9,2
2884,207,230.0,9,0,0,8.0,8.0,8.0,10.0,9.0,23.81,23.81,23.81,23.81,2.38,2
2886,207,232.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.78,17.78,17.78,17.78,13.33,2
2928,210,214.0,9,0,1,8.0,8.0,9.0,6.0,9.0,17.02,21.28,17.02,21.28,14.89,2
2930,210,216.0,9,0,0,8.0,8.0,9.0,6.0,9.0,7.5,17.5,20.0,22.5,12.5,2
2931,210,217.0,9,0,0,8.0,8.0,9.0,6.0,9.0,21.28,17.02,21.28,12.77,6.38,2
2932,210,218.0,9,0,0,8.0,8.0,9.0,6.0,9.0,20.51,5.13,23.08,12.82,17.95,2
2933,210,219.0,9,0,0,8.0,8.0,9.0,6.0,9.0,16.28,16.28,18.6,16.28,16.28,2
2936,210,222.0,9,0,0,8.0,8.0,9.0,6.0,9.0,9.52,19.05,23.81,19.05,4.76,2
2937,210,223.0,9,0,0,8.0,8.0,9.0,6.0,9.0,17.39,17.39,19.57,19.57,10.87,2
2938,210,224.0,9,0,0,8.0,8.0,9.0,6.0,9.0,17.24,17.24,17.24,17.24,13.79,2
2940,210,226.0,9,0,0,8.0,8.0,9.0,6.0,9.0,25.64,17.95,15.38,20.51,10.26,2
2941,210,227.0,9,0,0,8.0,8.0,9.0,6.0,9.0,20.0,16.0,18.0,16.0,16.0,2
2943,210,229.0,9,0,1,8.0,8.0,9.0,6.0,9.0,21.43,16.67,21.43,16.67,11.9,2
2944,210,230.0,9,0,0,8.0,8.0,9.0,6.0,9.0,23.81,23.81,23.81,23.81,2.38,2
2946,210,232.0,9,0,0,8.0,8.0,9.0,6.0,9.0,17.78,17.78,17.78,17.78,13.33,2
2948,211,214.0,9,0,0,7.0,9.0,9.0,9.0,9.0,17.02,21.28,17.02,21.28,14.89,2
2950,211,216.0,9,0,0,7.0,9.0,9.0,9.0,9.0,7.5,17.5,20.0,22.5,12.5,2
2951,211,217.0,9,0,0,7.0,9.0,9.0,9.0,9.0,21.28,17.02,21.28,12.77,6.38,2
2952,211,218.0,9,0,0,7.0,9.0,9.0,9.0,9.0,20.51,5.13,23.08,12.82,17.95,2
2953,211,219.0,9,0,1,7.0,9.0,9.0,9.0,9.0,16.28,16.28,18.6,16.28,16.28,2
2956,211,222.0,9,0,0,7.0,9.0,9.0,9.0,9.0,9.52,19.05,23.81,19.05,4.76,2
2957,211,223.0,9,0,0,7.0,9.0,9.0,9.0,9.0,17.39,17.39,19.57,19.57,10.87,2
2958,211,224.0,9,0,0,7.0,9.0,9.0,9.0,9.0,17.24,17.24,17.24,17.24,13.79,2
2960,211,226.0,9,0,0,7.0,9.0,9.0,9.0,9.0,25.64,17.95,15.38,20.51,10.26,2
2961,211,227.0,9,0,0,7.0,9.0,9.0,9.0,9.0,20.0,16.0,18.0,16.0,16.0,2
2963,211,229.0,9,0,0,7.0,9.0,9.0,9.0,9.0,21.43,16.67,21.43,16.67,11.9,2
2964,211,230.0,9,0,1,7.0,9.0,9.0,9.0,9.0,23.81,23.81,23.81,23.81,2.38,2
2966,211,232.0,9,0,0,7.0,9.0,9.0,9.0,9.0,17.78,17.78,17.78,17.78,13.33,2
2979,212,225.0,9,0,0,7.0,9.0,8.0,7.0,9.0,14.71,14.71,14.71,14.71,20.59,2
2985,212,231.0,9,0,1,7.0,9.0,8.0,7.0,9.0,18.6,20.93,23.26,23.26,2.33,2
2999,213,225.0,9,0,0,8.0,10.0,9.0,9.0,9.0,14.71,14.71,14.71,14.71,20.59,2
3005,213,231.0,9,0,0,8.0,10.0,9.0,9.0,9.0,18.6,20.93,23.26,23.26,2.33,2
3008,214,194.0,9,1,0,8.0,10.0,9.0,10.0,8.0,16.0,16.0,20.0,16.0,18.0,2
3009,214,195.0,9,1,0,8.0,10.0,9.0,10.0,8.0,15.38,19.23,19.23,19.23,13.46,2
3013,214,199.0,9,1,0,8.0,10.0,9.0,10.0,8.0,17.5,17.5,20.0,12.5,20.0,2
3014,214,200.0,9,1,0,8.0,10.0,9.0,10.0,8.0,13.21,18.87,18.87,16.98,16.98,2
3015,214,201.0,9,1,0,8.0,10.0,9.0,10.0,8.0,15.38,17.31,17.31,17.31,17.31,2
3016,214,202.0,9,1,0,8.0,10.0,9.0,10.0,8.0,15.38,19.23,19.23,19.23,15.38,2
3017,214,203.0,9,1,0,8.0,10.0,9.0,10.0,8.0,16.0,20.0,18.0,20.0,18.0,2
3018,214,204.0,9,1,0,8.0,10.0,9.0,10.0,8.0,19.61,15.69,17.65,15.69,17.65,2
3019,214,205.0,9,1,0,8.0,10.0,9.0,10.0,8.0,15.38,17.31,19.23,19.23,11.54,2
3021,214,207.0,9,1,0,8.0,10.0,9.0,10.0,8.0,17.31,13.46,17.31,19.23,19.23,2
3024,214,210.0,9,1,1,8.0,10.0,9.0,10.0,8.0,20.0,15.56,20.0,15.56,11.11,2
3025,214,211.0,9,1,0,8.0,10.0,9.0,10.0,8.0,16.36,16.36,18.18,18.18,16.36,2
3030,215,196.0,9,1,0,7.0,8.0,9.0,9.0,9.0,17.65,17.65,17.65,15.69,15.69,2
3032,215,198.0,9,1,0,7.0,8.0,9.0,9.0,9.0,15.38,19.23,17.31,19.23,9.62,2
3048,216,194.0,9,1,0,5.0,10.0,9.0,9.0,10.0,16.0,16.0,20.0,16.0,18.0,2
3049,216,195.0,9,1,0,5.0,10.0,9.0,9.0,10.0,15.38,19.23,19.23,19.23,13.46,2
3053,216,199.0,9,1,0,5.0,10.0,9.0,9.0,10.0,17.5,17.5,20.0,12.5,20.0,2
3054,216,200.0,9,1,0,5.0,10.0,9.0,9.0,10.0,13.21,18.87,18.87,16.98,16.98,2
3055,216,201.0,9,1,0,5.0,10.0,9.0,9.0,10.0,15.38,17.31,17.31,17.31,17.31,2
3056,216,202.0,9,1,0,5.0,10.0,9.0,9.0,10.0,15.38,19.23,19.23,19.23,15.38,2
3057,216,203.0,9,1,0,5.0,10.0,9.0,9.0,10.0,16.0,20.0,18.0,20.0,18.0,2
3058,216,204.0,9,1,0,5.0,10.0,9.0,9.0,10.0,19.61,15.69,17.65,15.69,17.65,2
3059,216,205.0,9,1,0,5.0,10.0,9.0,9.0,10.0,15.38,17.31,19.23,19.23,11.54,2
