,iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha
19,22,0.0,0.0,7.0,8.0,8.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0
20,23,0.0,0.0,5.0,8.0,7.0,6.0,8.0,10.0,20.0,40.0,10.0,10.0,10.0
21,24,0.0,0.0,7.0,9.0,8.0,9.0,8.0,10.0,20.0,20.0,15.0,20.0,15.0
22,25,0.0,0.0,7.0,9.0,8.0,7.0,6.0,20.0,20.0,15.0,15.0,15.0,15.0
23,26,0.0,0.0,7.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0
24,29,0.0,20.0,6.0,9.0,7.0,8.0,8.0,20.0,22.0,18.0,15.0,15.0,10.0
25,30,0.0,0.0,7.0,8.0,8.0,9.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0
26,31,0.0,10.0,8.0,8.0,8.0,9.0,9.0,35.0,10.0,20.0,20.0,10.0,5.0
27,32,0.0,0.0,7.0,5.0,9.0,9.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0
28,33,0.0,0.0,6.0,8.0,8.0,6.0,8.0,30.0,20.0,30.0,10.0,0.0,10.0
29,34,0.0,25.0,7.0,7.0,7.0,7.0,8.0,30.0,5.0,30.0,15.0,15.0,5.0
30,35,0.0,30.0,8.0,9.0,9.0,9.0,7.0,20.0,23.0,23.0,22.0,7.0,5.0
31,36,0.0,10.0,8.0,7.0,8.0,8.0,6.0,20.0,25.0,20.0,15.0,15.0,5.0
32,37,0.0,20.0,7.0,8.0,9.0,7.0,5.0,10.0,10.0,30.0,25.0,10.0,15.0
33,38,0.0,100.0,8.0,2.0,8.0,7.0,8.0,50.0,10.0,20.0,10.0,10.0,0.0
34,40,1.0,0.0,3.0,10.0,9.0,8.0,5.0,25.0,20.0,25.0,20.0,10.0,0.0
35,41,1.0,0.0,5.0,7.0,8.0,5.0,5.0,30.0,20.0,10.0,30.0,0.0,10.0
36,42,1.0,0.0,6.0,9.0,8.0,6.0,4.0,20.0,25.0,20.0,15.0,10.0,10.0
37,43,1.0,0.0,3.0,8.0,7.0,3.0,2.0,25.0,35.0,30.0,10.0,0.0,0.0
38,44,1.0,20.0,7.0,9.0,9.0,8.0,9.0,25.0,15.0,25.0,25.0,15.0,15.0
39,45,1.0,20.0,7.0,8.0,8.0,6.0,7.0,25.0,15.0,25.0,15.0,0.0,20.0
40,46,1.0,10.0,7.0,8.0,7.0,5.0,7.0,20.0,35.0,20.0,10.0,10.0,5.0
41,47,1.0,0.0,8.0,7.0,9.0,9.0,3.0,20.0,20.0,25.0,25.0,5.0,5.0
42,48,1.0,10.0,7.0,9.0,7.0,6.0,6.0,30.0,15.0,25.0,25.0,5.0,0.0
43,49,1.0,25.0,7.0,10.0,10.0,10.0,8.0,20.0,20.0,20.0,20.0,5.0,15.0
44,50,1.0,50.0,8.0,9.0,10.0,9.0,8.0,35.0,10.0,20.0,15.0,10.0,10.0
45,51,1.0,10.0,6.0,8.0,10.0,2.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0
46,52,1.0,10.0,5.0,8.0,8.0,6.0,7.0,15.0,20.0,15.0,30.0,5.0,15.0
47,53,1.0,10.0,8.0,9.0,8.0,8.0,8.0,40.0,15.0,20.0,10.0,5.0,10.0
48,54,1.0,0.0,8.0,9.0,8.0,8.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0
49,55,1.0,50.0,6.0,10.0,9.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,10.0
50,56,0.0,33.33333333333333,10.0,10.0,8.0,9.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0
51,57,0.0,16.66666666666666,6.0,10.0,9.0,10.0,10.0,10.0,20.0,20.0,20.0,15.0,15.0
52,60,0.0,0.0,7.0,9.0,9.0,9.0,9.0,5.0,20.0,25.0,15.0,15.0,20.0
53,61,0.0,16.66666666666666,7.0,10.0,10.0,7.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0
54,62,0.0,0.0,9.0,9.0,9.0,9.0,9.0,30.0,10.0,20.0,20.0,10.0,10.0
55,65,0.0,0.0,7.0,9.0,8.0,9.0,9.0,17.0,17.0,17.0,17.0,17.0,15.0
56,66,1.0,0.0,6.0,7.0,8.0,7.0,8.0,20.0,25.0,15.0,15.0,53.0,20.0
57,67,1.0,0.0,5.0,7.0,7.0,6.0,7.0,20.0,15.0,20.0,20.0,5.0,10.0
58,69,1.0,33.33333333333333,5.0,9.0,8.0,5.0,8.0,50.0,10.0,30.0,10.0,0.0,0.0
59,70,1.0,33.33333333333333,8.0,6.0,9.0,8.0,6.0,25.0,10.0,20.0,20.0,15.0,10.0
60,71,1.0,66.66666666666666,6.0,8.0,10.0,8.0,10.0,60.0,15.0,0.0,15.0,0.0,10.0
61,72,1.0,0.0,7.0,9.0,8.0,8.0,8.0,21.0,20.0,19.0,20.0,10.0,10.0
62,73,1.0,0.0,7.0,7.0,7.0,8.0,8.0,30.0,10.0,20.0,30.0,0.0,10.0
63,74,1.0,0.0,7.0,9.0,8.0,9.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0
64,75,1.0,0.0,7.0,7.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0
65,76,0.0,20.0,6.0,6.0,8.0,6.0,4.0,10.0,10.0,30.0,20.0,10.0,20.0
66,77,0.0,40.0,6.0,8.0,8.0,8.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0
67,78,0.0,50.0,3.0,10.0,8.0,3.0,8.0,10.0,25.0,20.0,10.0,20.0,15.0
68,79,0.0,0.0,7.0,9.0,7.0,8.0,7.0,10.0,20.0,15.0,20.0,20.0,15.0
69,80,0.0,25.0,8.0,8.0,8.0,8.0,8.0,10.0,20.0,20.0,10.0,20.0,20.0
70,81,0.0,30.0,8.0,7.0,7.0,8.0,7.0,10.0,10.0,20.0,20.0,20.0,20.0
71,82,0.0,0.0,8.0,9.0,8.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0
72,83,0.0,0.0,5.0,9.0,5.0,9.0,5.0,10.0,32.0,20.0,12.0,11.0,15.0
73,84,0.0,0.0,7.0,9.0,8.0,7.0,5.0,30.0,30.0,30.0,5.0,0.0,5.0
74,85,0.0,10.0,7.0,9.0,8.0,9.0,9.0,20.0,25.0,15.0,15.0,15.0,10.0
75,86,0.0,50.0,7.0,9.0,9.0,9.0,4.0,15.0,20.0,20.0,20.0,5.0,20.0
76,87,0.0,20.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,15.0,20.0
77,88,0.0,0.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,20.0,15.0
78,89,0.0,20.0,8.0,9.0,9.0,8.0,10.0,25.0,15.0,20.0,20.0,20.0,0.0
79,90,0.0,25.0,5.0,8.0,7.0,5.0,5.0,15.0,21.0,18.0,18.0,10.0,18.0
80,91,0.0,0.0,6.0,7.0,9.0,7.0,8.0,15.0,3.0,50.0,20.0,2.0,10.0
81,92,0.0,50.0,9.0,10.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0
82,93,0.0,30.0,8.0,8.0,8.0,8.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0
83,94,1.0,0.0,6.0,9.0,9.0,9.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0
84,95,1.0,10.0,7.0,9.0,10.0,8.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0
85,96,1.0,0.0,7.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,22.0,6.0,22.0
86,97,1.0,40.0,7.0,5.0,6.0,7.0,6.0,50.0,7.0,20.0,23.0,0.0,0.0
87,98,1.0,20.0,8.0,8.0,8.0,8.0,8.0,40.0,20.0,15.0,20.0,0.0,5.0
88,99,1.0,50.0,10.0,10.0,10.0,10.0,8.0,30.0,30.0,20.0,10.0,10.0,0.0
89,100,1.0,0.0,7.0,8.0,9.0,8.0,6.0,20.0,25.0,25.0,15.0,5.0,10.0
90,101,1.0,0.0,8.0,8.0,9.0,8.0,9.0,40.0,8.0,10.0,12.0,10.0,20.0
91,102,1.0,0.0,8.0,5.0,10.0,7.0,9.0,30.0,10.0,30.0,20.0,10.0,0.0
92,103,1.0,0.0,8.0,8.0,9.0,8.0,9.0,40.0,5.0,20.0,10.0,10.0,15.0
93,104,1.0,40.0,9.0,8.0,9.0,7.0,9.0,20.0,15.0,25.0,15.0,20.0,5.0
94,106,1.0,33.33333333333333,4.0,7.0,9.0,3.0,2.0,10.0,20.0,35.0,10.0,5.0,20.0
95,107,1.0,60.0,7.0,9.0,9.0,9.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0
96,108,1.0,20.0,4.0,8.0,7.0,3.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0
97,109,1.0,66.66666666666666,6.0,9.0,9.0,8.0,8.0,15.0,10.0,30.0,10.0,5.0,30.0
98,110,1.0,30.0,7.0,9.0,8.0,8.0,7.0,20.0,20.0,15.0,15.0,5.0,25.0
99,111,1.0,0.0,5.0,8.0,8.0,5.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0
100,112,0.0,100.0,9.0,10.0,9.0,9.0,9.0,15.0,15.0,20.0,25.0,10.0,15.0
101,113,0.0,75.0,8.0,10.0,8.0,10.0,9.0,15.0,15.0,25.0,25.0,15.0,5.0
102,115,0.0,75.0,8.0,7.0,9.0,8.0,8.0,20.0,10.0,30.0,20.0,15.0,5.0
103,116,0.0,50.0,8.0,9.0,9.0,8.0,9.0,15.0,15.0,25.0,25.0,20.0,0.0
104,117,0.0,25.0,8.0,7.0,8.0,8.0,8.0,20.0,10.0,20.0,20.0,20.0,10.0
105,121,0.0,0.0,2.0,9.0,7.0,9.0,9.0,35.0,15.0,5.0,30.0,15.0,0.0
106,122,1.0,100.0,7.0,10.0,8.0,8.0,8.0,40.0,15.0,10.0,20.0,5.0,10.0
107,125,1.0,80.0,9.0,6.0,9.0,10.0,10.0,20.0,15.0,20.0,15.0,12.0,18.0
108,126,1.0,20.0,9.0,10.0,9.0,9.0,9.0,25.0,40.0,15.0,10.0,5.0,5.0
109,127,1.0,40.0,8.0,8.0,9.0,9.0,8.0,25.0,25.0,25.0,15.0,5.0,5.0
110,128,1.0,40.0,8.0,7.0,8.0,7.0,7.0,40.0,15.0,10.0,20.0,10.0,5.0
111,132,0.0,50.0,8.0,10.0,9.0,10.0,10.0,16.67,16.67,16.67,16.67,16.67,16.67
112,133,0.0,0.0,6.0,8.0,8.0,7.0,7.0,12.77,19.15,17.02,17.02,14.89,19.15
113,134,0.0,0.0,7.0,8.0,8.0,8.0,8.0,6.67,20.0,20.0,17.78,20.0,15.56
114,135,0.0,50.0,9.0,10.0,9.0,7.0,6.0,18.18,22.73,18.18,13.64,13.64,13.64
115,137,1.0,0.0,7.0,9.0,9.0,8.0,8.0,17.39,17.39,15.22,17.39,13.04,19.57
116,138,1.0,0.0,8.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,6.669999999999999,13.33
117,139,1.0,0.0,8.0,8.0,9.0,9.0,6.0,18.75,16.67,18.75,20.83,12.5,12.5
118,140,1.0,66.66666666666666,7.0,7.0,8.0,9.0,8.0,18.6,16.28,18.6,18.6,11.63,16.28
119,142,0.0,54.54545454545454,9.0,9.0,10.0,9.0,7.0,14.29,14.29,21.43,21.43,19.05,9.52
120,143,0.0,0.0,7.0,10.0,8.0,7.0,7.0,8.33,20.83,20.83,14.58,16.67,18.75
121,144,0.0,0.0,7.0,8.0,9.0,8.0,9.0,16.0,16.0,16.0,18.0,18.0,16.0
122,145,0.0,0.0,5.0,5.0,9.0,7.0,7.0,11.36,18.18,22.73,18.18,11.36,18.18
123,146,0.0,9.09090909090909,8.0,8.0,8.0,8.0,8.0,18.18,18.18,18.18,18.18,13.640000000000002,13.640000000000002
124,147,0.0,0.0,8.0,7.0,9.0,8.0,7.0,18.0,18.0,20.0,18.0,16.0,10.0
125,148,0.0,0.0,8.0,9.0,9.0,9.0,8.0,15.089999999999998,16.98,16.98,18.87,18.87,13.21
126,149,0.0,27.27272727272727,8.0,8.0,8.0,8.0,8.0,8.51,19.15,19.15,19.15,19.15,14.890000000000002
127,150,0.0,18.18181818181818,7.0,9.0,9.0,8.0,8.0,12.0,20.0,20.0,20.0,14.0,14.0
128,151,0.0,9.09090909090909,9.0,10.0,10.0,10.0,8.0,14.55,16.36,18.18,18.18,16.36,16.36
129,152,0.0,0.0,7.0,9.0,10.0,8.0,8.0,14.0,20.0,20.0,14.0,18.0,14.0
130,153,0.0,0.0,7.0,7.0,7.0,6.0,6.0,9.76,19.51,19.51,14.63,19.51,17.07
131,154,0.0,54.54545454545454,8.0,9.0,9.0,9.0,9.0,15.38,17.31,17.31,17.31,17.31,15.38
132,155,0.0,9.09090909090909,7.0,10.0,8.0,6.0,9.0,15.090000000000002,18.87,18.87,16.98,16.98,13.21
133,156,0.0,100.0,8.0,10.0,9.0,10.0,10.0,14.0,18.0,16.0,18.0,18.0,16.0
134,157,0.0,0.0,7.0,8.0,8.0,9.0,9.0,14.29,16.33,16.33,18.37,18.37,16.33
135,158,1.0,0.0,7.0,9.0,9.0,7.0,6.0,19.05,19.05,19.05,19.05,9.52,14.289999999999996
136,159,1.0,10.0,5.0,9.0,9.0,8.0,7.0,15.91,20.45,20.45,20.45,11.36,11.36
137,160,1.0,100.0,8.0,8.0,8.0,9.0,9.0,16.0,18.0,18.0,18.0,14.0,16.0
138,161,1.0,20.0,8.0,7.0,9.0,9.0,7.0,16.67,18.75,18.75,18.75,18.75,8.33
139,162,1.0,0.0,7.0,8.0,9.0,7.0,8.0,15.220000000000002,15.220000000000002,19.57,17.39,13.039999999999996,19.57
140,163,1.0,10.0,7.0,8.0,9.0,8.0,7.0,12.0,20.0,20.0,20.0,16.0,12.0
141,164,1.0,10.0,7.0,9.0,9.0,6.0,4.0,20.51,23.08,20.51,17.95,2.56,15.38
142,165,1.0,10.0,8.0,6.0,9.0,7.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75
143,167,1.0,20.0,6.0,7.0,7.0,7.0,5.0,18.6,13.95,18.6,16.28,16.28,16.28
144,168,1.0,0.0,5.0,5.0,5.0,5.0,5.0,11.11,17.78,17.78,17.78,17.78,17.78
145,169,1.0,20.0,7.0,9.0,8.0,7.0,7.0,17.78,20.0,17.78,15.56,15.56,13.330000000000002
146,170,1.0,0.0,7.0,8.0,9.0,6.0,8.0,16.28,20.93,18.6,18.6,13.95,11.63
147,171,1.0,30.0,10.0,10.0,10.0,10.0,10.0,19.57,10.87,19.57,19.57,19.57,10.87
148,172,1.0,30.0,5.0,6.0,8.0,9.0,9.0,17.78,17.78,22.22,20.0,15.56,6.67
149,173,1.0,40.0,7.0,9.0,9.0,9.0,9.0,18.37,18.37,20.41,20.41,16.33,6.12
0,174,0.0,0.0,9.0,10.0,8.0,8.0,6.0,9.52,23.81,16.67,16.67,16.67,16.67
1,175,0.0,0.0,7.0,10.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,16.33
2,176,0.0,33.33333333333333,6.0,9.0,8.0,7.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04
3,177,0.0,0.0,9.0,9.0,9.0,8.0,9.0,15.089999999999998,16.98,16.98,16.98,18.87,15.089999999999998
4,178,0.0,33.33333333333333,9.0,9.0,8.0,7.0,7.0,15.22,17.39,17.39,17.39,15.22,17.39
5,180,0.0,0.0,9.0,9.0,9.0,10.0,9.0,15.38,17.31,17.31,19.23,13.46,17.31
6,183,0.0,16.66666666666666,9.0,7.0,9.0,9.0,7.0,20.0,22.5,17.5,22.5,10.0,7.5
7,184,1.0,50.0,6.0,10.0,9.0,7.0,5.0,16.67,16.67,16.67,16.67,16.67,16.67
8,185,1.0,0.0,10.0,10.0,8.0,7.0,8.0,16.98,15.09,16.98,16.98,18.87,15.09
9,186,1.0,50.0,4.0,8.0,7.0,4.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11
10,187,1.0,0.0,8.0,9.0,10.0,7.0,7.0,16.98,16.98,18.87,16.98,13.21,16.98
11,188,1.0,0.0,7.0,5.0,10.0,7.0,10.0,15.56,11.11,22.22,15.56,20.0,15.56
12,189,1.0,0.0,8.0,8.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,15.09
13,190,1.0,0.0,7.0,7.0,7.0,7.0,7.0,15.56,20.0,20.0,20.0,13.33,11.11
14,191,1.0,0.0,7.0,7.0,7.0,6.0,8.0,20.45,20.45,20.45,18.18,18.18,2.27
15,192,1.0,0.0,7.0,10.0,9.0,9.0,10.0,19.57,19.57,15.22,17.39,15.22,13.04
16,193,1.0,0.0,7.0,9.0,10.0,5.0,7.0,20.93,16.28,23.26,16.28,11.63,11.63
17,194,0.0,0.0,9.0,10.0,10.0,8.0,10.0,16.0,16.0,20.0,16.0,18.0,14.0
18,195,0.0,15.38461538461538,9.0,8.0,10.0,10.0,8.0,15.38,19.23,19.23,19.23,13.46,13.46
19,196,0.0,0.0,9.0,9.0,9.0,9.0,9.0,17.65,17.65,17.65,15.69,15.69,15.69
20,197,0.0,0.0,7.0,8.0,9.0,9.0,7.0,14.0,18.0,20.0,18.0,16.0,14.0
21,198,0.0,0.0,7.0,9.0,9.0,7.0,7.0,15.38,19.23,17.31,19.23,9.62,19.23
22,199,0.0,23.07692307692307,9.0,7.0,9.0,7.0,9.0,17.5,17.5,20.0,12.5,20.0,12.5
23,200,0.0,23.07692307692307,8.0,10.0,8.0,8.0,8.0,13.21,18.87,18.87,16.98,16.98,15.09
24,201,0.0,7.69230769230769,7.0,8.0,9.0,9.0,8.0,15.38,17.31,17.31,17.31,17.31,15.38
25,202,0.0,7.69230769230769,7.0,10.0,10.0,9.0,8.0,15.38,19.23,19.23,19.23,15.38,11.54
26,203,0.0,0.0,9.0,8.0,10.0,9.0,7.0,16.0,20.0,18.0,20.0,18.0,8.0
27,204,0.0,0.0,9.0,5.0,10.0,9.0,10.0,19.61,15.69,17.65,15.69,17.65,13.73
28,205,0.0,0.0,7.0,8.0,10.0,9.0,5.0,15.38,17.31,19.23,19.23,11.54,17.31
29,207,0.0,23.07692307692307,8.0,8.0,8.0,10.0,9.0,17.31,13.46,17.31,19.23,19.23,13.46
30,210,0.0,15.38461538461538,8.0,8.0,9.0,6.0,9.0,20.0,15.56,20.0,15.56,11.11,17.78
31,211,0.0,15.38461538461538,7.0,9.0,9.0,9.0,9.0,16.36,16.36,18.18,18.18,16.36,14.55
32,212,0.0,50.0,7.0,9.0,8.0,7.0,9.0,14.29,18.37,18.37,16.33,18.37,14.29
33,213,0.0,0.0,8.0,10.0,9.0,9.0,9.0,15.52,17.24,17.24,17.24,17.24,15.52
34,214,1.0,8.33333333333333,8.0,10.0,9.0,10.0,8.0,17.02,21.28,17.02,21.28,14.89,8.51
35,215,1.0,0.0,7.0,8.0,9.0,9.0,9.0,14.89,19.15,21.28,19.15,14.89,10.64
36,216,1.0,0.0,5.0,10.0,9.0,9.0,10.0,7.5,17.5,20.0,22.5,12.5,20.0
37,217,1.0,33.33333333333333,7.0,10.0,10.0,7.0,10.0,21.28,17.02,21.28,12.77,6.38,21.28
38,218,1.0,0.0,7.0,6.0,10.0,3.0,10.0,20.51,5.13,23.08,12.82,17.95,20.51
39,219,1.0,25.0,7.0,7.0,9.0,6.0,6.0,16.28,16.28,18.6,16.28,16.28,16.28
40,220,1.0,0.0,10.0,10.0,10.0,10.0,10.0,16.67,16.67,16.67,16.67,14.81,18.52
41,221,1.0,0.0,7.0,9.0,9.0,7.0,9.0,15.56,17.78,17.78,17.78,17.78,13.33
42,222,1.0,0.0,4.0,9.0,9.0,7.0,4.0,9.52,19.05,23.81,19.05,4.76,23.81
43,223,1.0,0.0,7.0,8.0,9.0,7.0,6.0,17.39,17.39,19.57,19.57,10.87,15.22
44,224,1.0,8.33333333333333,8.0,10.0,8.0,8.0,8.0,17.24,17.24,17.24,17.24,13.79,17.24
45,225,1.0,0.0,5.0,9.0,6.0,7.0,7.0,14.71,14.71,14.71,14.71,20.59,20.59
46,226,1.0,16.66666666666666,10.0,10.0,10.0,10.0,10.0,25.64,17.95,15.38,20.51,10.26,10.26
47,227,1.0,8.33333333333333,7.0,10.0,10.0,8.0,10.0,20.0,16.0,18.0,16.0,16.0,14.0
48,228,1.0,0.0,5.0,8.0,7.0,4.0,8.0,13.51,18.92,21.62,13.51,13.51,18.92
49,229,1.0,25.0,8.0,7.0,10.0,5.0,10.0,21.43,16.67,21.43,16.67,11.9,11.9
50,230,1.0,16.66666666666666,6.0,6.0,6.0,6.0,6.0,23.81,23.81,23.81,23.81,2.38,2.38
51,231,1.0,50.0,8.0,8.0,9.0,8.0,3.0,18.6,20.93,23.26,23.26,2.33,11.63
52,232,1.0,0.0,8.0,8.0,8.0,8.0,6.0,17.78,17.78,17.78,17.78,13.33,15.56
53,233,1.0,0.0,7.0,8.0,7.0,8.0,8.0,14.0,20.0,18.0,16.0,14.0,18.0
54,234,0.0,0.0,7.0,7.0,8.0,8.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0
55,235,0.0,25.0,6.0,9.0,8.0,9.0,9.0,15.0,15.0,20.0,20.0,20.0,10.0
56,236,0.0,0.0,7.0,9.0,8.0,10.0,8.0,15.0,20.0,15.0,20.0,15.0,15.0
57,237,0.0,0.0,8.0,10.0,8.0,7.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0
58,238,0.0,25.0,10.0,9.0,9.0,10.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0
59,239,0.0,25.0,7.0,9.0,9.0,7.0,4.0,10.0,25.0,20.0,20.0,5.0,20.0
60,240,0.0,0.0,3.0,8.0,3.0,5.0,6.0,10.0,30.0,30.0,10.0,10.0,10.0
61,241,0.0,0.0,8.0,10.0,8.0,8.0,8.0,90.0,2.0,2.0,2.0,2.0,2.0
62,243,1.0,25.0,7.0,9.0,9.0,8.0,5.0,20.0,20.0,20.0,25.0,5.0,10.0
63,244,1.0,25.0,7.0,10.0,10.0,7.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0
64,245,1.0,25.0,5.0,7.0,8.0,6.0,7.0,18.0,10.0,30.0,10.0,10.0,22.0
65,246,1.0,0.0,7.0,8.0,7.0,6.0,6.0,35.0,20.0,10.0,20.0,10.0,5.0
66,247,1.0,0.0,5.0,10.0,8.0,2.0,4.0,20.0,30.0,10.0,15.0,0.0,25.0
67,248,1.0,0.0,5.0,6.0,8.0,8.0,8.0,25.0,15.0,20.0,20.0,15.0,5.0
68,249,1.0,0.0,7.0,9.0,10.0,7.0,7.0,22.0,22.0,15.0,15.0,5.0,21.0
69,250,1.0,0.0,10.0,9.0,10.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0
70,251,1.0,0.0,8.0,10.0,10.0,9.0,9.0,19.0,19.0,19.0,19.0,19.0,5.0
71,252,0.0,50.0,9.0,9.0,9.0,9.0,10.0,0.0,25.0,25.0,25.0,25.0,0.0
72,253,0.0,0.0,8.0,10.0,8.0,9.0,7.0,25.0,30.0,10.0,10.0,5.0,20.0
73,254,0.0,0.0,8.0,7.0,10.0,8.0,8.0,25.0,7.0,25.0,25.0,8.0,10.0
74,255,0.0,0.0,6.0,8.0,7.0,6.0,6.0,16.67,16.67,16.67,16.67,16.67,16.67
75,256,0.0,25.0,6.0,9.0,8.0,6.0,6.0,15.0,25.0,20.0,20.0,10.0,10.0
76,257,0.0,0.0,7.0,9.0,9.0,7.0,10.0,22.0,14.0,30.0,10.0,14.0,10.0
77,258,0.0,0.0,6.0,10.0,9.0,8.0,5.0,7.0,35.0,20.0,20.0,5.0,13.0
78,259,0.0,8.33333333333333,7.0,9.0,8.0,8.0,9.0,15.0,18.0,19.0,19.0,17.0,12.0
79,260,0.0,25.0,6.0,9.0,9.0,7.0,6.0,19.0,20.0,19.0,14.0,13.0,15.0
80,261,0.0,25.0,5.0,8.0,7.0,7.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0
81,262,0.0,0.0,6.0,10.0,9.0,5.0,3.0,10.0,40.0,20.0,20.0,0.0,10.0
82,263,0.0,100.0,8.0,8.0,8.0,8.0,5.0,20.0,20.0,20.0,10.0,20.0,10.0
83,264,0.0,16.66666666666666,8.0,7.0,9.0,8.0,5.0,15.0,15.0,25.0,20.0,5.0,20.0
84,265,0.0,8.33333333333333,7.0,9.0,10.0,7.0,10.0,15.0,5.0,45.0,10.0,15.0,10.0
85,266,0.0,8.33333333333333,8.0,8.0,7.0,7.0,4.0,25.0,20.0,20.0,25.0,0.0,10.0
86,267,0.0,0.0,7.0,6.0,7.0,5.0,7.0,20.0,30.0,10.0,15.0,10.0,15.0
87,268,0.0,100.0,9.0,9.0,9.0,8.0,9.0,30.0,20.0,20.0,10.0,15.0,5.0
88,269,0.0,16.66666666666666,8.0,8.0,8.0,6.0,7.0,20.0,10.0,30.0,15.0,15.0,10.0
89,270,0.0,0.0,5.0,4.0,8.0,7.0,6.0,16.0,16.0,19.0,17.0,14.0,18.0
90,271,0.0,0.0,9.0,10.0,9.0,10.0,10.0,10.0,15.0,40.0,15.0,10.0,10.0
91,272,0.0,0.0,9.0,10.0,9.0,10.0,10.0,25.0,20.0,25.0,25.0,5.0,0.0
92,273,1.0,0.0,7.0,10.0,7.0,5.0,7.0,30.0,25.0,18.0,18.0,4.0,5.0
