iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb
514,0.0,0.0,8.0,10.0,9.0,8.0,7.0,20.0,20.0,20.0,15.0,5.0
515,0.0,0.15384615384615385,8.0,10.0,10.0,8.0,8.0,20.0,20.0,20.0,15.0,10.0
516,0.0,0.14285714285714285,8.0,9.0,8.0,9.0,8.0,58.0,5.0,8.0,10.0,7.0
518,0.0,0.46153846153846156,6.0,9.0,8.0,8.0,7.0,20.0,25.0,25.0,30.0,5.0
519,0.0,0.0,8.0,10.0,9.0,9.0,10.0,40.0,5.0,30.0,15.0,5.0
520,0.0,0.0,8.0,9.0,8.0,7.0,5.0,25.0,15.0,25.0,15.0,10.0
521,0.0,0.38461538461538464,7.0,9.0,8.0,9.0,8.0,10.0,30.0,20.0,15.0,15.0
522,0.0,0.3076923076923077,7.0,7.0,9.0,7.0,8.0,10.0,20.0,15.0,20.0,15.0
523,0.0,0.2857142857142857,6.0,9.0,9.0,8.0,6.0,10.0,25.0,20.0,20.0,5.0
524,0.0,0.42857142857142855,5.0,9.0,8.0,7.0,7.0,15.0,20.0,25.0,20.0,10.0
525,0.0,0.0,6.0,10.0,10.0,8.0,9.0,10.0,15.0,30.0,20.0,15.0
527,0.0,0.0,10.0,10.0,10.0,10.0,10.0,50.0,20.0,10.0,5.0,10.0
529,0.0,0.14285714285714285,6.0,10.0,7.0,9.0,5.0,10.0,25.0,25.0,10.0,10.0
530,0.0,0.14285714285714285,3.0,9.0,9.0,9.0,7.0,20.0,20.0,10.0,15.0,5.0
531,1.0,0.14285714285714285,10.0,10.0,10.0,6.0,10.0,15.0,30.0,20.0,20.0,10.0
532,1.0,0.42857142857142855,7.0,9.0,8.0,7.0,8.0,25.0,20.0,20.0,20.0,5.0
533,1.0,0.1111111111111111,8.0,9.0,9.0,8.0,9.0,25.0,25.0,25.0,13.0,12.0
534,1.0,0.0,7.0,9.0,9.0,8.0,5.0,30.0,30.0,30.0,5.0,2.0
535,1.0,0.4444444444444444,6.0,7.0,7.0,6.0,5.0,23.0,14.0,19.0,16.0,10.0
536,1.0,0.0,7.0,8.0,8.0,8.0,8.0,30.0,20.0,20.0,20.0,10.0
537,1.0,0.14285714285714285,7.0,9.0,9.0,9.0,7.0,20.0,5.0,25.0,25.0,5.0
538,1.0,0.1111111111111111,7.0,8.0,8.0,9.0,8.0,50.0,0.0,10.0,30.0,0.0
539,1.0,0.1111111111111111,8.0,8.0,10.0,9.0,10.0,30.0,10.0,20.0,15.0,15.0
540,1.0,0.0,5.0,7.0,5.0,6.0,7.0,20.0,15.0,20.0,20.0,15.0
541,1.0,0.14285714285714285,8.0,9.0,9.0,9.0,8.0,40.0,30.0,0.0,20.0,0.0
542,1.0,0.2857142857142857,8.0,9.0,8.0,8.0,9.0,25.0,15.0,20.0,20.0,10.0
543,1.0,0.0,7.0,9.0,8.0,9.0,9.0,20.0,16.0,16.0,17.0,16.0
544,1.0,0.2857142857142857,7.0,10.0,9.0,10.0,8.0,15.0,25.0,20.0,10.0,10.0
545,1.0,0.2222222222222222,8.0,8.0,9.0,8.0,6.0,20.0,20.0,20.0,20.0,10.0
546,1.0,0.3333333333333333,9.0,8.0,8.0,10.0,7.0,35.0,10.0,20.0,25.0,5.0
547,1.0,0.2222222222222222,7.0,9.0,8.0,8.0,8.0,25.0,20.0,20.0,20.0,0.0
548,1.0,0.2222222222222222,10.0,10.0,10.0,10.0,10.0,40.0,10.0,20.0,10.0,0.0
549,1.0,0.2222222222222222,7.0,10.0,9.0,8.0,9.0,20.0,20.0,20.0,20.0,0.0
550,1.0,0.3333333333333333,7.0,7.0,7.0,7.0,7.0,30.0,3.0,30.0,30.0,3.0
552,1.0,0.2222222222222222,8.0,7.0,7.0,6.0,7.0,70.0,0.0,15.0,15.0,0.0
