,id,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,group
2587,8.0,191,183.0,8,1,0,7.0,7.0,7.0,6.0,8.0,20.0,22.5,17.5,22.5,10.0,7.5,5.0,7.0,7.0,6.0,6.0,6.0,5.0,2
2591,9.0,192,177.0,8,1,0,7.0,10.0,9.0,9.0,10.0,15.09,16.98,16.98,16.98,18.87,15.09,6.0,8.0,6.0,7.0,9.0,4.0,6.0,2
2597,9.0,192,183.0,8,1,0,7.0,10.0,9.0,9.0,10.0,20.0,22.5,17.5,22.5,10.0,7.5,5.0,7.0,6.0,5.0,5.0,6.0,6.0,2
2598,10.0,193,174.0,8,1,0,7.0,9.0,10.0,5.0,7.0,9.52,23.81,16.67,16.67,16.67,16.67,3.0,9.0,7.0,5.0,6.0,6.0,7.0,2
2600,10.0,193,176.0,8,1,0,7.0,9.0,10.0,5.0,7.0,13.04,21.74,19.57,17.39,15.22,13.04,6.0,9.0,9.0,3.0,9.0,6.0,5.0,2
2602,10.0,193,178.0,8,1,0,7.0,9.0,10.0,5.0,7.0,15.22,17.39,17.39,17.39,15.22,17.39,3.0,9.0,9.0,6.0,10.0,9.0,8.0,2
2604,10.0,193,180.0,8,1,0,7.0,9.0,10.0,5.0,7.0,15.38,17.31,17.31,19.23,13.46,17.31,7.0,8.0,8.0,6.0,7.0,8.0,8.0,2
2608,1.0,194,214.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.02,21.28,17.02,21.28,14.89,8.51,7.0,8.0,10.0,8.0,10.0,7.0,7.0,2
2610,1.0,194,216.0,9,0,0,9.0,10.0,10.0,8.0,10.0,7.5,17.5,20.0,22.5,12.5,20.0,4.0,8.0,8.0,6.0,8.0,5.0,5.0,2
2611,1.0,194,217.0,9,0,0,9.0,10.0,10.0,8.0,10.0,21.28,17.02,21.28,12.77,6.38,21.28,8.0,8.0,10.0,7.0,10.0,9.0,6.0,2
2612,1.0,194,218.0,9,0,0,9.0,10.0,10.0,8.0,10.0,20.51,5.13,23.08,12.82,17.95,20.51,8.0,9.0,10.0,7.0,10.0,7.0,6.0,2
2613,1.0,194,219.0,9,0,0,9.0,10.0,10.0,8.0,10.0,16.28,16.28,18.6,16.28,16.28,16.28,8.0,9.0,8.0,7.0,8.0,6.0,6.0,2
2616,1.0,194,222.0,9,0,0,9.0,10.0,10.0,8.0,10.0,9.52,19.05,23.81,19.05,4.76,23.81,3.0,10.0,9.0,6.0,8.0,5.0,5.0,2
2617,1.0,194,223.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.39,17.39,19.57,19.57,10.87,15.22,6.0,10.0,10.0,7.0,10.0,6.0,6.0,2
2618,1.0,194,224.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.24,17.24,17.24,17.24,13.79,17.24,7.0,9.0,10.0,8.0,9.0,9.0,7.0,2
2620,1.0,194,226.0,9,0,0,9.0,10.0,10.0,8.0,10.0,25.64,17.95,15.38,20.51,10.26,10.26,10.0,8.0,8.0,8.0,8.0,7.0,7.0,2
2621,1.0,194,227.0,9,0,0,9.0,10.0,10.0,8.0,10.0,20.0,16.0,18.0,16.0,16.0,14.0,10.0,8.0,7.0,7.0,9.0,6.0,7.0,2
2623,1.0,194,229.0,9,0,0,9.0,10.0,10.0,8.0,10.0,21.43,16.67,21.43,16.67,11.9,11.9,8.0,9.0,8.0,6.0,7.0,7.0,7.0,2
2624,1.0,194,230.0,9,0,0,9.0,10.0,10.0,8.0,10.0,23.81,23.81,23.81,23.81,2.38,2.38,6.0,10.0,9.0,8.0,8.0,6.0,5.0,2
2626,1.0,194,232.0,9,0,0,9.0,10.0,10.0,8.0,10.0,17.78,17.78,17.78,17.78,13.33,15.56,5.0,10.0,9.0,6.0,7.0,6.0,5.0,2
2628,2.0,195,214.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.02,21.28,17.02,21.28,14.89,8.51,8.0,7.0,10.0,8.0,9.0,9.0,10.0,2
2630,2.0,195,216.0,9,0,0,9.0,8.0,10.0,10.0,8.0,7.5,17.5,20.0,22.5,12.5,20.0,5.0,8.0,7.0,6.0,8.0,6.0,6.0,2
2631,2.0,195,217.0,9,0,1,9.0,8.0,10.0,10.0,8.0,21.28,17.02,21.28,12.77,6.38,21.28,9.0,6.0,10.0,7.0,9.0,6.0,6.0,2
2632,2.0,195,218.0,9,0,0,9.0,8.0,10.0,10.0,8.0,20.51,5.13,23.08,12.82,17.95,20.51,6.0,10.0,10.0,5.0,9.0,6.0,7.0,2
2633,2.0,195,219.0,9,0,0,9.0,8.0,10.0,10.0,8.0,16.28,16.28,18.6,16.28,16.28,16.28,9.0,10.0,9.0,9.0,8.0,9.0,9.0,2
2636,2.0,195,222.0,9,0,0,9.0,8.0,10.0,10.0,8.0,9.52,19.05,23.81,19.05,4.76,23.81,4.0,5.0,10.0,5.0,6.0,4.0,5.0,2
2637,2.0,195,223.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.39,17.39,19.57,19.57,10.87,15.22,6.0,8.0,10.0,5.0,7.0,6.0,8.0,2
2638,2.0,195,224.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.24,17.24,17.24,17.24,13.79,17.24,8.0,8.0,10.0,6.0,7.0,7.0,8.0,2
2640,2.0,195,226.0,9,0,0,9.0,8.0,10.0,10.0,8.0,25.64,17.95,15.38,20.51,10.26,10.26,10.0,9.0,9.0,8.0,9.0,6.0,7.0,2
2641,2.0,195,227.0,9,0,0,9.0,8.0,10.0,10.0,8.0,20.0,16.0,18.0,16.0,16.0,14.0,9.0,7.0,7.0,6.0,6.0,6.0,7.0,2
2643,2.0,195,229.0,9,0,1,9.0,8.0,10.0,10.0,8.0,21.43,16.67,21.43,16.67,11.9,11.9,8.0,8.0,9.0,9.0,8.0,6.0,7.0,2
2644,2.0,195,230.0,9,0,0,9.0,8.0,10.0,10.0,8.0,23.81,23.81,23.81,23.81,2.38,2.38,6.0,7.0,6.0,6.0,6.0,5.0,5.0,2
2646,2.0,195,232.0,9,0,0,9.0,8.0,10.0,10.0,8.0,17.78,17.78,17.78,17.78,13.33,15.56,5.0,6.0,7.0,4.0,6.0,4.0,5.0,2
2649,3.0,196,215.0,9,0,0,9.0,9.0,9.0,9.0,9.0,14.89,19.15,21.28,19.15,14.89,10.64,5.0,6.0,7.0,6.0,7.0,5.0,6.0,2
2674,4.0,197,220.0,9,0,0,7.0,8.0,9.0,9.0,7.0,16.67,16.67,16.67,16.67,14.81,18.52,7.0,7.0,7.0,7.0,7.0,5.0,4.0,2
2689,5.0,198,215.0,9,0,0,7.0,9.0,9.0,7.0,7.0,14.89,19.15,21.28,19.15,14.89,10.64,4.0,5.0,5.0,6.0,6.0,5.0,6.0,2
2695,5.0,198,221.0,9,0,0,7.0,9.0,9.0,7.0,7.0,15.56,17.78,17.78,17.78,17.78,13.33,3.0,5.0,6.0,4.0,5.0,5.0,3.0,2
2702,5.0,198,228.0,9,0,0,7.0,9.0,9.0,7.0,7.0,13.51,18.92,21.62,13.51,13.51,18.92,8.0,8.0,8.0,8.0,8.0,5.0,6.0,2
2707,5.0,198,233.0,9,0,0,7.0,9.0,9.0,7.0,7.0,14.0,20.0,18.0,16.0,14.0,18.0,4.0,6.0,6.0,7.0,6.0,5.0,5.0,2
2708,6.0,199,214.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.02,21.28,17.02,21.28,14.89,8.51,2.0,10.0,10.0,5.0,6.0,5.0,7.0,2
2710,6.0,199,216.0,9,0,0,9.0,7.0,9.0,7.0,9.0,7.5,17.5,20.0,22.5,12.5,20.0,1.0,6.0,6.0,6.0,7.0,2.0,3.0,2
2711,6.0,199,217.0,9,0,1,9.0,7.0,9.0,7.0,9.0,21.28,17.02,21.28,12.77,6.38,21.28,9.0,9.0,9.0,8.0,9.0,8.0,6.0,2
2712,6.0,199,218.0,9,0,0,9.0,7.0,9.0,7.0,9.0,20.51,5.13,23.08,12.82,17.95,20.51,4.0,9.0,9.0,4.0,9.0,4.0,6.0,2
2713,6.0,199,219.0,9,0,1,9.0,7.0,9.0,7.0,9.0,16.28,16.28,18.6,16.28,16.28,16.28,9.0,10.0,10.0,10.0,9.0,10.0,9.0,2
2716,6.0,199,222.0,9,0,0,9.0,7.0,9.0,7.0,9.0,9.52,19.05,23.81,19.05,4.76,23.81,2.0,9.0,9.0,9.0,2.0,2.0,3.0,2
2717,6.0,199,223.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.39,17.39,19.57,19.57,10.87,15.22,2.0,10.0,10.0,5.0,10.0,10.0,9.0,2
2718,6.0,199,224.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.24,17.24,17.24,17.24,13.79,17.24,3.0,10.0,10.0,4.0,10.0,2.0,6.0,2
2720,6.0,199,226.0,9,0,1,9.0,7.0,9.0,7.0,9.0,25.64,17.95,15.38,20.51,10.26,10.26,8.0,7.0,8.0,8.0,8.0,3.0,8.0,2
2721,6.0,199,227.0,9,0,0,9.0,7.0,9.0,7.0,9.0,20.0,16.0,18.0,16.0,16.0,14.0,4.0,10.0,10.0,6.0,8.0,4.0,7.0,2
2723,6.0,199,229.0,9,0,0,9.0,7.0,9.0,7.0,9.0,21.43,16.67,21.43,16.67,11.9,11.9,2.0,2.0,10.0,6.0,10.0,2.0,3.0,2
2724,6.0,199,230.0,9,0,0,9.0,7.0,9.0,7.0,9.0,23.81,23.81,23.81,23.81,2.38,2.38,2.0,4.0,4.0,4.0,10.0,4.0,2.0,2
2726,6.0,199,232.0,9,0,0,9.0,7.0,9.0,7.0,9.0,17.78,17.78,17.78,17.78,13.33,15.56,2.0,9.0,7.0,2.0,7.0,2.0,2.0,2
2764,8.0,201,230.0,9,0,1,7.0,8.0,9.0,9.0,8.0,23.81,23.81,23.81,23.81,2.38,2.38,8.0,8.0,8.0,9.0,9.0,8.0,8.0,2
2768,9.0,202,214.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.02,21.28,17.02,21.28,14.89,8.51,7.0,9.0,8.0,8.0,7.0,5.0,8.0,2
2770,9.0,202,216.0,9,0,0,7.0,10.0,10.0,9.0,8.0,7.5,17.5,20.0,22.5,12.5,20.0,5.0,8.0,7.0,8.0,9.0,7.0,6.0,2
2771,9.0,202,217.0,9,0,1,7.0,10.0,10.0,9.0,8.0,21.28,17.02,21.28,12.77,6.38,21.28,9.0,8.0,9.0,8.0,10.0,7.0,8.0,2
2772,9.0,202,218.0,9,0,0,7.0,10.0,10.0,9.0,8.0,20.51,5.13,23.08,12.82,17.95,20.51,6.0,8.0,9.0,6.0,8.0,7.0,6.0,2
2773,9.0,202,219.0,9,0,0,7.0,10.0,10.0,9.0,8.0,16.28,16.28,18.6,16.28,16.28,16.28,8.0,8.0,9.0,7.0,8.0,5.0,7.0,2
2776,9.0,202,222.0,9,0,0,7.0,10.0,10.0,9.0,8.0,9.52,19.05,23.81,19.05,4.76,23.81,2.0,9.0,10.0,4.0,8.0,4.0,5.0,2
2777,9.0,202,223.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.39,17.39,19.57,19.57,10.87,15.22,8.0,9.0,9.0,8.0,8.0,8.0,7.0,2
2778,9.0,202,224.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.24,17.24,17.24,17.24,13.79,17.24,4.0,9.0,9.0,5.0,8.0,5.0,6.0,2
2780,9.0,202,226.0,9,0,0,7.0,10.0,10.0,9.0,8.0,25.64,17.95,15.38,20.51,10.26,10.26,9.0,8.0,8.0,9.0,8.0,8.0,8.0,2
2781,9.0,202,227.0,9,0,0,7.0,10.0,10.0,9.0,8.0,20.0,16.0,18.0,16.0,16.0,14.0,8.0,7.0,8.0,8.0,9.0,7.0,7.0,2
2783,9.0,202,229.0,9,0,0,7.0,10.0,10.0,9.0,8.0,21.43,16.67,21.43,16.67,11.9,11.9,9.0,9.0,9.0,8.0,9.0,4.0,8.0,2
2784,9.0,202,230.0,9,0,0,7.0,10.0,10.0,9.0,8.0,23.81,23.81,23.81,23.81,2.38,2.38,5.0,9.0,8.0,8.0,8.0,5.0,5.0,2
2786,9.0,202,232.0,9,0,0,7.0,10.0,10.0,9.0,8.0,17.78,17.78,17.78,17.78,13.33,15.56,7.0,9.0,9.0,7.0,9.0,6.0,7.0,2
2790,10.0,203,216.0,9,0,0,9.0,8.0,10.0,9.0,7.0,7.5,17.5,20.0,22.5,12.5,20.0,2.0,5.0,6.0,5.0,7.0,4.0,1.0,2
2791,10.0,203,217.0,9,0,0,9.0,8.0,10.0,9.0,7.0,21.28,17.02,21.28,12.77,6.38,21.28,10.0,7.0,9.0,10.0,10.0,7.0,10.0,2
2796,10.0,203,222.0,9,0,0,9.0,8.0,10.0,9.0,7.0,9.52,19.05,23.81,19.05,4.76,23.81,3.0,9.0,10.0,2.0,9.0,3.0,5.0,2
2800,10.0,203,226.0,9,0,0,9.0,8.0,10.0,9.0,7.0,25.64,17.95,15.38,20.51,10.26,10.26,10.0,8.0,8.0,10.0,9.0,9.0,9.0,2
2801,10.0,203,227.0,9,0,0,9.0,8.0,10.0,9.0,7.0,20.0,16.0,18.0,16.0,16.0,14.0,8.0,6.0,8.0,7.0,8.0,7.0,6.0,2
2803,10.0,203,229.0,9,0,0,9.0,8.0,10.0,9.0,7.0,21.43,16.67,21.43,16.67,11.9,11.9,8.0,3.0,9.0,8.0,9.0,7.0,8.0,2
2804,10.0,203,230.0,9,0,0,9.0,8.0,10.0,9.0,7.0,23.81,23.81,23.81,23.81,2.38,2.38,4.0,6.0,6.0,7.0,7.0,3.0,3.0,2
2808,11.0,204,214.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.02,21.28,17.02,21.28,14.89,8.51,5.0,6.0,7.0,8.0,7.0,6.0,7.0,2
2810,11.0,204,216.0,9,0,0,9.0,5.0,10.0,9.0,10.0,7.5,17.5,20.0,22.5,12.5,20.0,3.0,8.0,10.0,6.0,10.0,7.0,8.0,2
2811,11.0,204,217.0,9,0,0,9.0,5.0,10.0,9.0,10.0,21.28,17.02,21.28,12.77,6.38,21.28,9.0,8.0,10.0,8.0,10.0,7.0,9.0,2
2812,11.0,204,218.0,9,0,0,9.0,5.0,10.0,9.0,10.0,20.51,5.13,23.08,12.82,17.95,20.51,5.0,7.0,9.0,5.0,9.0,5.0,6.0,2
2813,11.0,204,219.0,9,0,0,9.0,5.0,10.0,9.0,10.0,16.28,16.28,18.6,16.28,16.28,16.28,7.0,8.0,9.0,8.0,8.0,8.0,9.0,2
2816,11.0,204,222.0,9,0,0,9.0,5.0,10.0,9.0,10.0,9.52,19.05,23.81,19.05,4.76,23.81,1.0,6.0,8.0,1.0,2.0,1.0,1.0,2
2817,11.0,204,223.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.39,17.39,19.57,19.57,10.87,15.22,6.0,6.0,7.0,6.0,7.0,6.0,6.0,2
2818,11.0,204,224.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.24,17.24,17.24,17.24,13.79,17.24,5.0,6.0,7.0,6.0,8.0,4.0,5.0,2
2820,11.0,204,226.0,9,0,0,9.0,5.0,10.0,9.0,10.0,25.64,17.95,15.38,20.51,10.26,10.26,9.0,9.0,8.0,9.0,7.0,8.0,8.0,2
2821,11.0,204,227.0,9,0,0,9.0,5.0,10.0,9.0,10.0,20.0,16.0,18.0,16.0,16.0,14.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,2
2823,11.0,204,229.0,9,0,0,9.0,5.0,10.0,9.0,10.0,21.43,16.67,21.43,16.67,11.9,11.9,8.0,7.0,8.0,9.0,8.0,7.0,8.0,2
2824,11.0,204,230.0,9,0,0,9.0,5.0,10.0,9.0,10.0,23.81,23.81,23.81,23.81,2.38,2.38,6.0,8.0,7.0,7.0,6.0,6.0,7.0,2
2826,11.0,204,232.0,9,0,0,9.0,5.0,10.0,9.0,10.0,17.78,17.78,17.78,17.78,13.33,15.56,6.0,8.0,8.0,5.0,6.0,6.0,6.0,2
2828,12.0,205,214.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.02,21.28,17.02,21.28,14.89,8.51,5.0,6.0,7.0,6.0,7.0,5.0,6.0,2
2830,12.0,205,216.0,9,0,0,7.0,8.0,10.0,9.0,5.0,7.5,17.5,20.0,22.5,12.5,20.0,2.0,8.0,4.0,4.0,7.0,2.0,2.0,2
2831,12.0,205,217.0,9,0,0,7.0,8.0,10.0,9.0,5.0,21.28,17.02,21.28,12.77,6.38,21.28,10.0,10.0,10.0,7.0,9.0,6.0,8.0,2
2832,12.0,205,218.0,9,0,0,7.0,8.0,10.0,9.0,5.0,20.51,5.13,23.08,12.82,17.95,20.51,5.0,8.0,8.0,6.0,6.0,5.0,6.0,2
2833,12.0,205,219.0,9,0,0,7.0,8.0,10.0,9.0,5.0,16.28,16.28,18.6,16.28,16.28,16.28,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2
2836,12.0,205,222.0,9,0,0,7.0,8.0,10.0,9.0,5.0,9.52,19.05,23.81,19.05,4.76,23.81,3.0,10.0,10.0,5.0,8.0,6.0,10.0,2
2837,12.0,205,223.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.39,17.39,19.57,19.57,10.87,15.22,6.0,7.0,6.0,4.0,4.0,4.0,4.0,2
2838,12.0,205,224.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.24,17.24,17.24,17.24,13.79,17.24,10.0,10.0,10.0,7.0,7.0,9.0,8.0,2
2840,12.0,205,226.0,9,0,0,7.0,8.0,10.0,9.0,5.0,25.64,17.95,15.38,20.51,10.26,10.26,9.0,7.0,6.0,4.0,9.0,2.0,6.0,2
2841,12.0,205,227.0,9,0,0,7.0,8.0,10.0,9.0,5.0,20.0,16.0,18.0,16.0,16.0,14.0,2.0,7.0,5.0,4.0,9.0,2.0,2.0,2
2843,12.0,205,229.0,9,0,0,7.0,8.0,10.0,9.0,5.0,21.43,16.67,21.43,16.67,11.9,11.9,10.0,8.0,6.0,5.0,9.0,5.0,5.0,2
2844,12.0,205,230.0,9,0,0,7.0,8.0,10.0,9.0,5.0,23.81,23.81,23.81,23.81,2.38,2.38,5.0,5.0,6.0,2.0,9.0,3.0,3.0,2
2846,12.0,205,232.0,9,0,0,7.0,8.0,10.0,9.0,5.0,17.78,17.78,17.78,17.78,13.33,15.56,6.0,8.0,6.0,6.0,8.0,8.0,6.0,2
2868,14.0,207,214.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.02,21.28,17.02,21.28,14.89,8.51,4.0,6.0,6.0,4.0,4.0,4.0,4.0,2
2870,14.0,207,216.0,9,0,0,8.0,8.0,8.0,10.0,9.0,7.5,17.5,20.0,22.5,12.5,20.0,3.0,8.0,8.0,9.0,4.0,5.0,6.0,2
2871,14.0,207,217.0,9,0,0,8.0,8.0,8.0,10.0,9.0,21.28,17.02,21.28,12.77,6.38,21.28,7.0,8.0,10.0,7.0,9.0,7.0,7.0,2
2872,14.0,207,218.0,9,0,0,8.0,8.0,8.0,10.0,9.0,20.51,5.13,23.08,12.82,17.95,20.51,6.0,9.0,8.0,6.0,8.0,3.0,7.0,2
2873,14.0,207,219.0,9,0,1,8.0,8.0,8.0,10.0,9.0,16.28,16.28,18.6,16.28,16.28,16.28,9.0,9.0,9.0,10.0,9.0,8.0,9.0,2
2876,14.0,207,222.0,9,0,0,8.0,8.0,8.0,10.0,9.0,9.52,19.05,23.81,19.05,4.76,23.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
2877,14.0,207,223.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.39,17.39,19.57,19.57,10.87,15.22,3.0,8.0,7.0,3.0,7.0,3.0,4.0,2
2878,14.0,207,224.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.24,17.24,17.24,17.24,13.79,17.24,4.0,8.0,7.0,8.0,7.0,4.0,2.0,2
2880,14.0,207,226.0,9,0,1,8.0,8.0,8.0,10.0,9.0,25.64,17.95,15.38,20.51,10.26,10.26,10.0,9.0,9.0,10.0,10.0,10.0,10.0,2
2881,14.0,207,227.0,9,0,1,8.0,8.0,8.0,10.0,9.0,20.0,16.0,18.0,16.0,16.0,14.0,8.0,10.0,7.0,9.0,7.0,8.0,8.0,2
2883,14.0,207,229.0,9,0,0,8.0,8.0,8.0,10.0,9.0,21.43,16.67,21.43,16.67,11.9,11.9,7.0,9.0,9.0,9.0,9.0,9.0,8.0,2
2884,14.0,207,230.0,9,0,0,8.0,8.0,8.0,10.0,9.0,23.81,23.81,23.81,23.81,2.38,2.38,4.0,7.0,6.0,4.0,4.0,4.0,4.0,2
2886,14.0,207,232.0,9,0,0,8.0,8.0,8.0,10.0,9.0,17.78,17.78,17.78,17.78,13.33,15.56,4.0,6.0,6.0,4.0,4.0,4.0,3.0,2
2930,17.0,210,216.0,9,0,0,8.0,8.0,9.0,6.0,9.0,7.5,17.5,20.0,22.5,12.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
2941,17.0,210,227.0,9,0,0,8.0,8.0,9.0,6.0,9.0,20.0,16.0,18.0,16.0,16.0,14.0,6.0,6.0,5.0,9.0,5.0,5.0,5.0,2
2948,18.0,211,214.0,9,0,0,7.0,9.0,9.0,9.0,9.0,17.02,21.28,17.02,21.28,14.89,8.51,6.0,8.0,10.0,7.0,9.0,2.0,7.0,2
2950,18.0,211,216.0,9,0,0,7.0,9.0,9.0,9.0,9.0,7.5,17.5,20.0,22.5,12.5,20.0,4.0,9.0,10.0,7.0,10.0,6.0,6.0,2
