iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha
149,0.0,0.2727272727272727,8.0,8.0,8.0,8.0,8.0,8.51,19.15,19.15,19.15,19.15,14.890000000000002
150,0.0,0.18181818181818182,7.0,9.0,9.0,8.0,8.0,12.0,20.0,20.0,20.0,14.0,14.0
151,0.0,0.09090909090909091,9.0,10.0,10.0,10.0,8.0,14.55,16.36,18.18,18.18,16.36,16.36
152,0.0,0.0,7.0,9.0,10.0,8.0,8.0,14.0,20.0,20.0,14.0,18.0,14.0
153,0.0,0.0,7.0,7.0,7.0,6.0,6.0,9.76,19.51,19.51,14.63,19.51,17.07
154,0.0,0.5454545454545454,8.0,9.0,9.0,9.0,9.0,15.38,17.31,17.31,17.31,17.31,15.38
155,0.0,0.09090909090909091,7.0,10.0,8.0,6.0,9.0,15.090000000000002,18.87,18.87,16.98,16.98,13.21
156,0.0,1.0,8.0,10.0,9.0,10.0,10.0,14.0,18.0,16.0,18.0,18.0,16.0
157,0.0,0.0,7.0,8.0,8.0,9.0,9.0,14.29,16.33,16.33,18.37,18.37,16.33
158,1.0,0.0,7.0,9.0,9.0,7.0,6.0,19.05,19.05,19.05,19.05,9.52,14.289999999999997
159,1.0,0.1,5.0,9.0,9.0,8.0,7.0,15.91,20.45,20.45,20.45,11.36,11.36
160,1.0,1.0,8.0,8.0,8.0,9.0,9.0,16.0,18.0,18.0,18.0,14.0,16.0
161,1.0,0.2,8.0,7.0,9.0,9.0,7.0,16.67,18.75,18.75,18.75,18.75,8.33
162,1.0,0.0,7.0,8.0,9.0,7.0,8.0,15.220000000000002,15.220000000000002,19.57,17.39,13.039999999999997,19.57
163,1.0,0.1,7.0,8.0,9.0,8.0,7.0,12.0,20.0,20.0,20.0,16.0,12.0
164,1.0,0.1,7.0,9.0,9.0,6.0,4.0,20.51,23.08,20.51,17.95,2.56,15.38
165,1.0,0.1,8.0,6.0,9.0,7.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75
167,1.0,0.2,6.0,7.0,7.0,7.0,5.0,18.6,13.95,18.6,16.28,16.28,16.28
168,1.0,0.0,5.0,5.0,5.0,5.0,5.0,11.11,17.78,17.78,17.78,17.78,17.78
169,1.0,0.2,7.0,9.0,8.0,7.0,7.0,17.78,20.0,17.78,15.559999999999999,15.559999999999999,13.330000000000002
170,1.0,0.0,7.0,8.0,9.0,6.0,8.0,16.28,20.93,18.6,18.6,13.95,11.63
171,1.0,0.3,10.0,10.0,10.0,10.0,10.0,19.57,10.87,19.57,19.57,19.57,10.87
172,1.0,0.3,5.0,6.0,8.0,9.0,9.0,17.78,17.78,22.22,20.0,15.559999999999999,6.67
173,1.0,0.4,7.0,9.0,9.0,9.0,9.0,18.37,18.37,20.41,20.41,16.33,6.12
