,id,iid,pid,wave,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,condtn,round,int_corr,age_o,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,group
39,4.0,4,20.0,1,0,0,7.0,8.0,7.0,9.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,1,10,-0.19,24.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,8.0,8.0,8.0,1
40,5.0,5,11.0,1,0,0,6.0,3.0,10.0,6.0,8.0,35.0,20.0,20.0,20.0,0.0,5.0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,1,10,-0.43,27.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
41,5.0,5,12.0,1,0,0,6.0,3.0,10.0,6.0,8.0,60.0,0.0,0.0,40.0,0.0,0.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,1,10,0.0,22.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
43,5.0,5,14.0,1,0,1,6.0,3.0,10.0,6.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,5.0,5.0,7.0,7.0,9.0,8.0,1,10,0.08,23.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
45,5.0,5,16.0,1,0,0,6.0,3.0,10.0,6.0,8.0,50.0,0.0,30.0,10.0,0.0,10.0,5.0,6.0,7.0,5.0,7.0,8.0,7.0,1,10,0.06,25.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
46,5.0,5,17.0,1,0,0,6.0,3.0,10.0,6.0,8.0,35.0,15.0,25.0,10.0,5.0,10.0,6.0,6.0,8.0,5.0,5.0,6.0,6.0,1,10,-0.05,30.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
47,5.0,5,18.0,1,0,0,6.0,3.0,10.0,6.0,8.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,7.0,6.0,7.0,5.0,6.0,1,10,0.07,27.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
48,5.0,5,19.0,1,0,1,6.0,3.0,10.0,6.0,8.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,5.0,7.0,8.0,7.0,9.0,9.0,1,10,-0.13,28.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
49,5.0,5,20.0,1,0,0,6.0,3.0,10.0,6.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,7.0,9.0,6.0,5.0,10.0,1,10,-0.06,24.0,21.0,20.0,5.0,25.0,25.0,10.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
52,6.0,6,13.0,1,0,0,5.0,7.0,9.0,8.0,5.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,1,10,-0.51,22.0,23.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,10.0,10.0,25.0,10.0,20.0,7.0,8.0,8.0,8.0,8.0,1
62,7.0,7,13.0,1,0,0,6.0,6.0,7.0,5.0,7.0,19.0,18.0,19.0,18.0,14.0,12.0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,1,10,0.52,22.0,22.0,15.0,15.0,25.0,20.0,15.0,10.0,25.0,10.0,10.0,15.0,10.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,7.0,8.0,8.0,8.0,8.0,1
70,8.0,8,11.0,1,0,0,7.0,4.0,8.0,8.0,8.0,35.0,20.0,20.0,20.0,0.0,5.0,5.0,8.0,7.0,4.0,7.0,5.0,4.0,1,10,-0.03,27.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
71,8.0,8,12.0,1,0,1,7.0,4.0,8.0,8.0,8.0,60.0,0.0,0.0,40.0,0.0,0.0,8.0,7.0,7.0,9.0,6.0,7.0,8.0,1,10,-0.11,22.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
73,8.0,8,14.0,1,0,1,7.0,4.0,8.0,8.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,1,10,-0.4,23.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
75,8.0,8,16.0,1,0,1,7.0,4.0,8.0,8.0,8.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,8.0,8.0,5.0,6.0,7.0,6.0,1,10,0.28,25.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
76,8.0,8,17.0,1,0,0,7.0,4.0,8.0,8.0,8.0,35.0,15.0,25.0,10.0,5.0,10.0,6.0,7.0,8.0,5.0,7.0,7.0,6.0,1,10,0.05,30.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
77,8.0,8,18.0,1,0,1,7.0,4.0,8.0,8.0,8.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,6.0,7.0,4.0,5.0,6.0,5.0,1,10,0.17,27.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
78,8.0,8,19.0,1,0,1,7.0,4.0,8.0,8.0,8.0,50.0,0.0,25.0,10.0,0.0,15.0,8.0,8.0,5.0,9.0,8.0,9.0,7.0,1,10,-0.47,28.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
79,8.0,8,20.0,1,0,1,7.0,4.0,8.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,7.0,9.0,8.0,8.0,1,10,-0.21,24.0,25.0,9.09,18.18,27.27,18.18,18.18,9.09,25.0,10.0,10.0,15.0,10.0,10.0,30.0,10.0,20.0,30.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
90,10.0,10,11.0,1,0,0,6.0,8.0,6.0,10.0,9.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,10.0,10.0,6.0,6.0,6.0,6.0,1,10,0.3,27.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
91,10.0,10,12.0,1,0,0,6.0,8.0,6.0,10.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1,10,0.65,22.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
93,10.0,10,14.0,1,0,0,6.0,8.0,6.0,10.0,9.0,30.0,5.0,15.0,40.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,1,10,0.17,23.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
95,10.0,10,16.0,1,0,0,6.0,8.0,6.0,10.0,9.0,50.0,0.0,30.0,10.0,0.0,10.0,5.0,10.0,6.0,4.0,6.0,6.0,6.0,1,10,0.15,25.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
96,10.0,10,17.0,1,0,0,6.0,8.0,6.0,10.0,9.0,35.0,15.0,25.0,10.0,5.0,10.0,5.0,10.0,8.0,6.0,9.0,6.0,7.0,1,10,0.41,30.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
97,10.0,10,18.0,1,0,0,6.0,8.0,6.0,10.0,9.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,6.0,6.0,4.0,5.0,6.0,5.0,1,10,0.07,27.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
98,10.0,10,19.0,1,0,1,6.0,8.0,6.0,10.0,9.0,50.0,0.0,25.0,10.0,0.0,15.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,10,0.49,28.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
99,10.0,10,20.0,1,0,0,6.0,8.0,6.0,10.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,1,10,0.08,24.0,26.0,15.0,15.0,15.0,40.0,10.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,45.0,10.0,15.0,20.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,1
101,1.0,11,2.0,1,1,0,8.0,9.0,8.0,7.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,1,10,0.29,24.0,27.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,5.0,20.0,20.0,25.0,5.0,7.0,8.0,8.0,8.0,8.0,1
102,1.0,11,3.0,1,1,0,8.0,9.0,8.0,7.0,5.0,35.0,10.0,35.0,10.0,10.0,0.0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,1,10,-0.24,25.0,27.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,5.0,20.0,20.0,25.0,5.0,7.0,8.0,8.0,8.0,8.0,1
103,1.0,11,4.0,1,1,0,8.0,9.0,8.0,7.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,1,10,-0.18,23.0,27.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,5.0,20.0,20.0,25.0,5.0,7.0,8.0,8.0,8.0,8.0,1
104,1.0,11,5.0,1,1,0,8.0,9.0,8.0,7.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,1,10,-0.43,21.0,27.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,5.0,20.0,20.0,25.0,5.0,7.0,8.0,8.0,8.0,8.0,1
107,1.0,11,8.0,1,1,0,8.0,9.0,8.0,7.0,5.0,9.09,18.18,27.27,18.18,18.18,9.09,8.0,7.0,6.0,6.0,6.0,5.0,7.0,1,10,-0.03,25.0,27.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,5.0,20.0,20.0,25.0,5.0,7.0,8.0,8.0,8.0,8.0,1
109,1.0,11,10.0,1,1,0,8.0,9.0,8.0,7.0,5.0,15.0,15.0,15.0,40.0,10.0,5.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,1,10,0.3,26.0,27.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,5.0,20.0,20.0,25.0,5.0,7.0,8.0,8.0,8.0,8.0,1
111,2.0,12,2.0,1,1,0,9.0,9.0,10.0,9.0,9.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,1,10,0.18,24.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,15.0,25.0,20.0,15.0,0.0,7.0,8.0,8.0,8.0,8.0,1
112,2.0,12,3.0,1,1,0,9.0,9.0,10.0,9.0,9.0,35.0,10.0,35.0,10.0,10.0,0.0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,1,10,-0.14,25.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,15.0,25.0,20.0,15.0,0.0,7.0,8.0,8.0,8.0,8.0,1
113,2.0,12,4.0,1,1,0,9.0,9.0,10.0,9.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,1,10,-0.18,23.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,15.0,25.0,20.0,15.0,0.0,7.0,8.0,8.0,8.0,8.0,1
114,2.0,12,5.0,1,1,0,9.0,9.0,10.0,9.0,9.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,1,10,0.0,21.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,15.0,25.0,20.0,15.0,0.0,7.0,8.0,8.0,8.0,8.0,1
117,2.0,12,8.0,1,1,1,9.0,9.0,10.0,9.0,9.0,9.09,18.18,27.27,18.18,18.18,9.09,8.0,8.0,10.0,7.0,6.0,5.0,9.0,1,10,-0.11,25.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,15.0,25.0,20.0,15.0,0.0,7.0,8.0,8.0,8.0,8.0,1
119,2.0,12,10.0,1,1,0,9.0,9.0,10.0,9.0,9.0,15.0,15.0,15.0,40.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,10,0.65,26.0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,10.0,10.0,15.0,10.0,10.0,25.0,15.0,25.0,20.0,15.0,0.0,7.0,8.0,8.0,8.0,8.0,1
120,3.0,13,1.0,1,1,1,4.0,7.0,8.0,8.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10,0.16,21.0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,16.0,16.0,18.0,16.0,14.0,7.0,8.0,8.0,8.0,8.0,1
125,3.0,13,6.0,1,1,0,4.0,7.0,8.0,8.0,3.0,10.0,25.0,20.0,25.0,5.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10,-0.51,23.0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,16.0,16.0,18.0,16.0,14.0,7.0,8.0,8.0,8.0,8.0,1
126,3.0,13,7.0,1,1,0,4.0,7.0,8.0,8.0,3.0,15.0,15.0,25.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10,0.52,22.0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,16.0,16.0,18.0,16.0,14.0,7.0,8.0,8.0,8.0,8.0,1
131,4.0,14,2.0,1,1,1,9.0,9.0,9.0,9.0,9.0,45.0,5.0,25.0,20.0,0.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,10,-0.21,24.0,23.0,30.0,5.0,15.0,40.0,5.0,5.0,25.0,10.0,10.0,15.0,10.0,10.0,20.0,15.0,20.0,20.0,5.0,20.0,7.0,8.0,8.0,8.0,8.0,1
