,iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like
50,61,0.0,16.66666666666666,7.0,10.0,10.0,7.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0,4.333333333333333,7.666666666666667,8.166666666666666,5.5,6.333333333333333,4.5,5.666666666666667
51,62,0.0,0.0,9.0,9.0,9.0,9.0,9.0,30.0,10.0,20.0,20.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,5.0,8.0
52,65,0.0,0.0,7.0,9.0,8.0,9.0,9.0,17.0,17.0,17.0,17.0,17.0,15.0,6.5,6.5,6.5,8.0,6.5,6.0,6.0
53,66,1.0,0.0,6.0,7.0,8.0,7.0,8.0,20.0,25.0,15.0,15.0,53.0,20.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0
54,67,1.0,0.0,5.0,7.0,7.0,6.0,7.0,20.0,15.0,20.0,20.0,5.0,10.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0
55,69,1.0,0.0,5.0,9.0,8.0,5.0,8.0,50.0,10.0,30.0,10.0,0.0,0.0,7.333333333333333,8.666666666666666,7.666666666666667,7.0,8.333333333333334,6.666666666666667,7.666666666666667
56,70,1.0,33.33333333333333,8.0,6.0,9.0,8.0,6.0,25.0,10.0,20.0,20.0,15.0,10.0,6.0,7.333333333333333,8.333333333333334,9.0,9.333333333333334,7.0,8.0
57,71,1.0,66.66666666666666,6.0,8.0,10.0,8.0,10.0,60.0,15.0,0.0,15.0,0.0,10.0,6.333333333333333,9.333333333333334,8.333333333333334,7.333333333333333,7.666666666666667,6.333333333333333,6.333333333333333
58,72,1.0,0.0,7.0,9.0,8.0,8.0,8.0,21.0,20.0,19.0,20.0,10.0,10.0,6.666666666666667,9.0,7.666666666666667,7.0,7.333333333333333,6.0,5.666666666666667
59,73,1.0,0.0,7.0,7.0,7.0,8.0,8.0,30.0,10.0,20.0,30.0,0.0,10.0,6.666666666666667,8.333333333333334,8.666666666666666,8.666666666666666,9.333333333333334,6.666666666666667,6.0
60,74,1.0,0.0,7.0,9.0,8.0,9.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,5.333333333333333,9.0,8.333333333333334,7.0,7.0,5.333333333333333,6.333333333333333
61,75,1.0,0.0,7.0,7.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,8.0,7.0,6.0,8.0,5.0,5.0
62,76,0.0,0.0,6.0,6.0,8.0,6.0,4.0,10.0,10.0,30.0,20.0,10.0,20.0,5.888888888888889,7.111111111111111,7.888888888888889,7.444444444444445,6.444444444444445,6.333333333333333,6.444444444444445
63,77,0.0,33.33333333333333,6.0,8.0,8.0,8.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0,6.111111111111111,6.888888888888889,7.222222222222222,6.888888888888889,6.777777777777778,6.222222222222222,5.833333333333333
65,79,0.0,0.0,7.0,9.0,7.0,8.0,7.0,10.0,20.0,15.0,20.0,20.0,15.0,5.666666666666667,7.666666666666667,6.666666666666667,6.666666666666667,5.333333333333333,7.0,6.666666666666667
66,80,0.0,33.33333333333333,8.0,8.0,8.0,8.0,8.0,10.0,20.0,20.0,10.0,20.0,20.0,6.0,7.333333333333333,6.666666666666667,5.666666666666667,6.333333333333333,5.0,5.333333333333333
67,81,0.0,33.33333333333333,8.0,7.0,7.0,8.0,7.0,10.0,10.0,20.0,20.0,20.0,20.0,7.777777777777778,7.111111111111111,7.333333333333333,7.111111111111111,7.444444444444445,7.111111111111111,7.333333333333333
68,82,0.0,0.0,8.0,9.0,8.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,9.0,9.0,8.0,8.0,7.0,7.0
69,83,0.0,0.0,5.0,9.0,5.0,9.0,5.0,10.0,32.0,20.0,12.0,11.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
70,84,0.0,0.0,7.0,9.0,8.0,7.0,5.0,30.0,30.0,30.0,5.0,0.0,5.0,8.5,8.5,9.0,8.0,8.0,8.0,9.0
71,85,0.0,11.11111111111111,7.0,9.0,8.0,9.0,9.0,20.0,25.0,15.0,15.0,15.0,10.0,6.0,7.0,6.875,5.625,5.625,5.625,5.625
72,86,0.0,55.55555555555556,7.0,9.0,9.0,9.0,4.0,15.0,20.0,20.0,20.0,5.0,20.0,7.0,7.555555555555555,7.777777777777778,7.333333333333333,7.333333333333333,6.555555555555555,7.444444444444445
73,87,0.0,22.22222222222222,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,15.0,20.0,7.625,7.25,6.875,7.0,6.5,5.3125,6.875
74,88,0.0,0.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,20.0,15.0,6.555555555555555,7.111111111111111,6.777777777777778,6.444444444444445,6.555555555555555,6.111111111111111,6.333333333333333
75,89,0.0,22.22222222222222,8.0,9.0,9.0,8.0,10.0,25.0,15.0,20.0,20.0,20.0,0.0,6.333333333333333,6.777777777777778,7.444444444444445,5.444444444444445,6.888888888888889,4.555555555555555,5.888888888888889
76,90,0.0,25.0,5.0,8.0,7.0,5.0,5.0,15.0,21.0,18.0,18.0,10.0,18.0,5.25,8.25,7.75,4.75,6.0,4.75,5.0
77,92,0.0,44.44444444444444,9.0,10.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,7.375,7.25,7.25,6.375,7.0,6.25,6.75
78,93,0.0,25.0,8.0,8.0,8.0,8.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0,6.5,7.277777777777778,7.333333333333333,7.388888888888889,7.055555555555555,6.555555555555555,6.777777777777778
79,94,1.0,0.0,6.0,9.0,9.0,9.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,2.5,5.5,6.0,3.0,9.0,2.5,3.5
80,95,1.0,10.0,7.0,9.0,10.0,8.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,4.333333333333333,7.111111111111111,6.888888888888889,5.0,6.555555555555555,4.777777777777778,4.777777777777778
81,96,1.0,0.0,7.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,22.0,6.0,22.0,3.6666666666666665,7.0,8.333333333333334,4.333333333333333,7.333333333333333,4.333333333333333,6.0
82,97,1.0,40.0,7.0,5.0,6.0,7.0,6.0,50.0,7.0,20.0,23.0,0.0,0.0,6.75,7.25,8.0,7.25,7.5,6.0,5.75
83,99,1.0,50.0,10.0,10.0,10.0,10.0,8.0,30.0,30.0,20.0,10.0,10.0,0.0,8.333333333333334,7.888888888888889,7.888888888888889,7.333333333333333,8.0,7.333333333333333,8.11111111111111
84,100,1.0,0.0,7.0,8.0,9.0,8.0,6.0,20.0,25.0,25.0,15.0,5.0,10.0,5.0,10.0,10.0,9.0,10.0,8.0,9.0
85,101,1.0,0.0,8.0,8.0,9.0,8.0,9.0,40.0,8.0,10.0,12.0,10.0,20.0,4.666666666666667,7.333333333333333,7.0,5.0,6.0,5.0,5.333333333333333
86,102,1.0,0.0,8.0,5.0,10.0,7.0,9.0,30.0,10.0,30.0,20.0,10.0,0.0,4.222222222222222,7.666666666666667,7.666666666666667,4.888888888888889,6.333333333333333,3.7777777777777777,4.611111111111111
87,103,1.0,0.0,8.0,8.0,9.0,8.0,9.0,40.0,5.0,20.0,10.0,10.0,15.0,6.666666666666667,7.111111111111111,7.111111111111111,6.222222222222222,7.333333333333333,4.444444444444445,5.777777777777778
88,104,1.0,40.0,9.0,8.0,9.0,7.0,9.0,20.0,15.0,25.0,15.0,20.0,5.0,6.777777777777778,7.333333333333333,7.333333333333333,6.777777777777778,6.666666666666667,5.777777777777778,6.444444444444445
89,106,1.0,0.0,4.0,7.0,9.0,3.0,2.0,10.0,20.0,35.0,10.0,5.0,20.0,4.5,7.0,8.0,7.0,6.5,6.5,4.5
90,107,1.0,60.0,7.0,9.0,9.0,9.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0,7.0,8.222222222222221,8.0,8.333333333333334,7.555555555555555,6.888888888888889,7.444444444444445
91,108,1.0,20.0,4.0,8.0,7.0,3.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0,7.6,7.7,7.3,7.0,7.7,6.1,7.0
92,109,1.0,66.66666666666666,6.0,9.0,9.0,8.0,8.0,15.0,10.0,30.0,10.0,5.0,30.0,6.333333333333333,6.666666666666667,6.666666666666667,6.0,6.333333333333333,6.666666666666667,6.666666666666667
93,110,1.0,28.57142857142857,7.0,9.0,8.0,8.0,7.0,20.0,20.0,15.0,15.0,5.0,25.0,6.111111111111111,7.333333333333333,7.666666666666667,7.777777777777778,7.111111111111111,5.777777777777778,6.777777777777778
94,111,1.0,0.0,5.0,8.0,8.0,5.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,6.333333333333333,8.0,7.0,6.666666666666667,7.0,7.333333333333333,6.666666666666667
95,112,0.0,100.0,9.0,10.0,9.0,9.0,9.0,15.0,15.0,20.0,25.0,10.0,15.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
96,113,0.0,75.0,8.0,10.0,8.0,10.0,9.0,15.0,15.0,25.0,25.0,15.0,5.0,6.6,7.6,7.6,7.2,7.0,6.4,6.6
97,115,0.0,75.0,8.0,7.0,9.0,8.0,8.0,20.0,10.0,30.0,20.0,15.0,5.0,7.8,7.0,7.2,8.6,7.2,8.0,7.4
98,116,0.0,50.0,8.0,9.0,9.0,8.0,9.0,15.0,15.0,25.0,25.0,20.0,0.0,7.75,7.5,8.0,8.25,7.5,7.0,7.5
99,117,0.0,25.0,8.0,7.0,8.0,8.0,8.0,20.0,10.0,20.0,20.0,20.0,10.0,8.0,7.2,8.0,8.6,7.8,8.0,8.0
100,121,0.0,0.0,2.0,9.0,7.0,9.0,9.0,35.0,15.0,5.0,30.0,15.0,0.0,5.2,7.8,7.4,4.8,5.6,4.0,4.8
101,122,1.0,100.0,7.0,10.0,8.0,8.0,8.0,40.0,15.0,10.0,20.0,5.0,10.0,7.0,7.0,7.0,9.0,7.0,8.0,8.0
102,125,1.0,80.0,9.0,6.0,9.0,10.0,10.0,20.0,15.0,20.0,15.0,12.0,18.0,9.2,9.4,9.6,9.4,9.2,7.8,9.4
103,126,1.0,20.0,9.0,10.0,9.0,9.0,9.0,25.0,40.0,15.0,10.0,5.0,5.0,6.4,9.0,9.4,7.2,8.8,6.2,7.6
104,127,1.0,40.0,8.0,8.0,9.0,9.0,8.0,25.0,25.0,25.0,15.0,5.0,5.0,7.4,6.0,6.4,6.6,6.2,5.6,6.2
105,128,1.0,40.0,8.0,7.0,8.0,7.0,7.0,40.0,15.0,10.0,20.0,10.0,5.0,7.6,9.2,8.4,6.6,6.8,4.8,7.4
107,132,0.0,50.0,8.0,10.0,9.0,10.0,10.0,16.67,16.67,16.67,16.67,16.67,16.67,7.5,7.0,5.5,6.5,6.5,5.5,7.5
108,133,0.0,0.0,6.0,8.0,8.0,7.0,7.0,12.77,19.15,17.02,17.02,14.89,19.15,6.0,10.0,10.0,6.0,7.0,5.0,7.0
109,134,0.0,0.0,7.0,8.0,8.0,8.0,8.0,6.67,20.0,20.0,17.78,20.0,15.56,3.0,8.0,8.0,2.0,7.0,1.0,1.0
110,137,1.0,0.0,7.0,9.0,9.0,8.0,8.0,17.39,17.39,15.22,17.39,13.04,19.57,7.0,7.0,7.0,8.0,6.0,8.0,7.0
111,138,1.0,0.0,8.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,6.67,13.33,7.5,8.0,8.5,8.0,7.5,8.0,7.5
112,140,1.0,100.0,7.0,7.0,8.0,9.0,8.0,18.6,16.28,18.6,18.6,11.63,16.28,8.0,9.0,9.0,9.0,9.5,7.5,8.5
113,142,0.0,54.54545454545454,9.0,9.0,10.0,9.0,7.0,14.29,14.29,21.43,21.43,19.05,9.52,7.888888888888889,7.333333333333333,7.777777777777778,7.0,6.444444444444445,5.555555555555555,6.888888888888889
114,143,0.0,0.0,7.0,10.0,8.0,7.0,7.0,8.33,20.83,20.83,14.58,16.67,18.75,5.111111111111111,8.0,7.666666666666667,5.555555555555555,6.777777777777778,5.444444444444445,5.111111111111111
115,144,0.0,0.0,7.0,8.0,9.0,8.0,9.0,16.0,16.0,16.0,18.0,18.0,16.0,6.727272727272728,7.636363636363637,8.181818181818182,7.090909090909091,6.181818181818182,6.181818181818182,6.363636363636363
116,145,0.0,0.0,5.0,5.0,9.0,7.0,7.0,11.36,18.18,22.73,18.18,11.36,18.18,5.6,7.5,8.1,5.9,6.3,5.1,5.6
117,146,0.0,100.0,8.0,8.0,8.0,8.0,8.0,18.18,18.18,18.18,18.18,13.64,13.64,5.7,7.2,7.7,5.3,6.2,5.7,5.9
118,147,0.0,0.0,8.0,7.0,9.0,8.0,7.0,18.0,18.0,20.0,18.0,16.0,10.0,5.333333333333333,7.0,7.333333333333333,7.0,6.0,6.333333333333333,5.333333333333333
119,148,0.0,0.0,8.0,9.0,9.0,9.0,8.0,15.089999999999998,16.98,16.98,18.87,18.87,13.21,6.333333333333333,6.666666666666667,7.333333333333333,6.0,6.666666666666667,5.666666666666667,6.333333333333333
120,149,0.0,14.28571428571428,8.0,8.0,8.0,8.0,8.0,8.51,19.15,19.15,19.15,19.15,14.89,7.8,7.2,7.8,6.6,6.9,6.7,7.6
121,150,0.0,25.0,7.0,9.0,9.0,8.0,8.0,12.0,20.0,20.0,20.0,14.0,14.0,7.5,7.9,8.5,7.1,7.2,5.4,6.9
122,151,0.0,11.11111111111111,9.0,10.0,10.0,10.0,8.0,14.550000000000002,16.36,18.18,18.18,16.36,16.36,9.0,8.333333333333334,7.666666666666667,7.777777777777778,6.777777777777778,5.444444444444445,7.666666666666667
123,152,0.0,0.0,7.0,9.0,10.0,8.0,8.0,14.0,20.0,20.0,14.0,18.0,14.0,6.0,7.0,6.666666666666667,5.666666666666667,6.333333333333333,5.0,5.0
124,153,0.0,0.0,7.0,7.0,7.0,6.0,6.0,9.76,19.51,19.51,14.63,19.51,17.07,5.666666666666667,7.0,6.666666666666667,5.0,6.0,5.0,5.333333333333333
125,154,0.0,54.54545454545454,8.0,9.0,9.0,9.0,9.0,15.38,17.31,17.31,17.31,17.31,15.38,8.0,8.2,7.6,7.5,7.6,5.9,7.2
126,155,0.0,9.09090909090909,7.0,10.0,8.0,6.0,9.0,15.09,18.87,18.87,16.98,16.98,13.21,7.777777777777778,7.444444444444445,7.222222222222222,6.888888888888889,6.444444444444445,5.777777777777778,6.888888888888889
127,156,0.0,100.0,8.0,10.0,9.0,10.0,10.0,14.0,18.0,16.0,18.0,18.0,16.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0
128,157,0.0,0.0,7.0,8.0,8.0,9.0,9.0,14.29,16.33,16.33,18.37,18.37,16.33,5.666666666666667,6.333333333333333,6.666666666666667,6.333333333333333,7.333333333333333,5.666666666666667,6.333333333333333
129,158,1.0,0.0,7.0,9.0,9.0,7.0,6.0,19.05,19.05,19.05,19.05,9.52,14.29,4.333333333333333,6.666666666666667,7.5,3.8333333333333335,6.666666666666667,4.333333333333333,4.166666666666667
130,159,1.0,0.0,5.0,9.0,9.0,8.0,7.0,15.91,20.45,20.45,20.45,11.36,11.36,4.285714285714286,7.571428571428571,8.142857142857142,6.0,7.285714285714286,5.142857142857143,5.571428571428571
131,160,1.0,100.0,8.0,8.0,8.0,9.0,9.0,16.0,18.0,18.0,18.0,14.0,16.0,7.0,10.0,10.0,9.0,10.0,10.0,8.0
132,161,1.0,20.0,8.0,7.0,9.0,9.0,7.0,16.67,18.75,18.75,18.75,18.75,8.33,8.444444444444445,7.333333333333333,8.222222222222221,8.555555555555555,7.444444444444445,6.888888888888889,8.11111111111111
133,162,1.0,0.0,7.0,8.0,9.0,7.0,8.0,15.22,15.22,19.57,17.39,13.04,19.57,4.75,6.0,7.0,4.5,6.5,4.75,4.75
134,163,1.0,10.0,7.0,8.0,9.0,8.0,7.0,12.0,20.0,20.0,20.0,16.0,12.0,7.125,7.375,7.375,7.25,7.125,6.625,7.3125
135,164,1.0,50.0,7.0,9.0,9.0,6.0,4.0,20.51,23.08,20.51,17.95,2.56,15.380000000000004,7.222222222222222,8.333333333333334,8.333333333333334,7.222222222222222,6.444444444444445,6.777777777777778,7.333333333333333
136,165,1.0,10.0,8.0,6.0,9.0,7.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75,7.166666666666667,7.0,6.166666666666667,5.5,5.166666666666667,5.0,4.833333333333333
137,167,1.0,20.0,6.0,7.0,7.0,7.0,5.0,18.6,13.95,18.6,16.28,16.28,16.28,6.75,6.625,7.5,7.125,6.625,6.625,6.125
138,168,1.0,0.0,5.0,5.0,5.0,5.0,5.0,11.11,17.78,17.78,17.78,17.78,17.78,3.0,7.75,7.75,5.25,4.75,4.25,4.25
139,169,1.0,20.0,7.0,9.0,8.0,7.0,7.0,17.78,20.0,17.78,15.56,15.56,13.33,8.5,8.25,8.75,8.125,7.875,7.5,8.0
140,170,1.0,0.0,7.0,8.0,9.0,6.0,8.0,16.28,20.93,18.6,18.6,13.949999999999998,11.63,3.333333333333333,7.0,7.666666666666667,4.0,6.333333333333333,2.6666666666666665,4.0
141,171,1.0,30.0,10.0,10.0,10.0,10.0,10.0,19.57,10.87,19.57,19.57,19.57,10.87,6.333333333333333,8.5,8.5,6.333333333333333,7.5,5.666666666666667,7.166666666666667
142,172,1.0,33.33333333333333,5.0,6.0,8.0,9.0,9.0,17.78,17.78,22.22,20.0,15.56,6.67,7.142857142857143,8.142857142857142,8.0,7.142857142857143,7.714285714285714,7.285714285714286,7.428571428571429
143,173,1.0,40.0,7.0,9.0,9.0,9.0,9.0,18.37,18.37,20.41,20.41,16.33,6.12,6.666666666666667,7.5,8.666666666666666,7.833333333333333,8.166666666666666,8.0,7.666666666666667
